50
Atoms. Timestep: 41400000
1 -0.0310287 0.0159808 0.0145653
1 0.471187 -0.120612 -0.830502
1 0.0196251 -0.605342 -1.57404
1 0.889571 -1.09989 -1.61033
1 1.63895 -0.461569 -1.78225
1 1.81396 -0.156746 -0.851147
1 2.13379 0.343964 -0.0410678
1 2.40935 -0.506754 0.411843
1 2.74704 -1.19069 1.05387
1 2.20457 -2.02761 1.10808
1 2.95568 -1.72404 0.522462
1 2.52671 -2.62572 0.465119
1 1.85123 -3.29168 0.806834
1 2.37056 -3.9343 1.36686
1 3.16589 -3.43962 1.0374
1 2.70937 -3.17974 1.88738
1 3.17148 -2.43607 1.4066
1 2.73897 -1.65687 1.84991
1 2.39489 -1.43847 2.76147
1 2.34624 -0.519287 2.37278
1 2.23815 -0.239528 1.41258
1 1.42901 0.0701822 1.9091
1 2.15651 0.738809 1.98652
1 1.72397 0.149453 2.6659
1 1.344 0.987794 2.26358
1 1.17892 1.97302 2.1911
1 0.677608 2.62317 2.7721
1 0.544115 3.04423 1.87814
1 1.21485 2.54492 1.33074
1 0.373615 2.95018 0.987
1 0.378319 3.6079 0.227226
1 0.603749 3.05017 -0.564413
1 0.419807 2.13541 -0.919157
1 -0.213591 1.3861 -0.717951
1 0.195419 1.05556 0.137658
1 -0.498226 0.322556 0.129634
1 0.210346 0.376397 0.826518
1 -0.51003 1.07016 0.89799
1 -0.427088 2.03409 1.16105
1 -1.05074 2.02313 0.376713
1 -1.54032 1.43127 1.01598
1 -1.47096 0.887826 1.85084
1 -1.86077 1.28198 2.68171
1 -2.22018 0.400666 2.37255
1 -1.31793 0.435454 2.79406
1 -1.30984 -0.205778 2.02047
1 -1.04297 -0.394296 1.07637
1 -0.100283 -0.0448467 1.04679
1 0.354875 0.7735 0.67994
1 -0.555005 0.821078 0.269533
