50
Atoms. Timestep: 15600000
1 0.0157112 0.000412217 -0.0410901
1 -0.266841 0.959523 0.0598292
1 -0.583318 1.90574 0.0482032
1 -1.42741 1.40434 0.266731
1 -2.06813 1.23154 -0.483153
1 -1.5268 1.87247 -1.02565
1 -1.31411 1.3631 -1.86505
1 -2.15868 0.832641 -1.91679
1 -2.71297 0.109684 -1.4914
1 -2.51858 -0.633714 -0.849053
1 -2.02656 -1.49969 -0.767684
1 -1.93921 -2.22203 -0.0778626
1 -2.59989 -1.92675 0.617406
1 -2.72991 -2.45434 1.44422
1 -3.27917 -2.21883 2.24937
1 -3.20465 -1.61855 1.45303
1 -3.403 -0.636918 1.47289
1 -2.87382 -0.0842621 0.829491
1 -2.57911 0.673371 0.255534
1 -2.93775 1.13208 -0.557492
1 -3.33292 0.232844 -0.359612
1 -3.87474 0.539053 0.417864
1 -3.92484 0.782837 -0.549033
1 -4.31959 1.58126 -1.00961
1 -4.28287 2.07277 -0.13503
1 -4.61014 2.54307 -0.960686
1 -4.87139 1.9217 -1.70414
1 -5.31982 2.07817 -2.58267
1 -4.87114 2.58428 -3.32884
1 -5.08068 3.53462 -3.10755
1 -4.85662 4.49868 -3.25592
1 -4.11575 5.10201 -2.94635
1 -4.094 4.12986 -2.71353
1 -3.94551 3.27573 -3.21545
1 -3.65431 2.59243 -3.88578
1 -2.995 2.47451 -3.13875
1 -2.06017 2.49844 -3.4768
1 -1.72353 1.55021 -3.48878
1 -0.980929 2.12416 -3.1267
1 -0.510853 2.63823 -2.41264
1 -0.000733308 2.13361 -1.72118
1 -0.277037 1.59207 -0.936338
1 -0.514217 0.621608 -0.928666
1 0.136046 0.219506 -1.56907
1 0.713382 -0.372161 -2.12261
1 0.812255 0.619652 -2.09206
1 0.959689 1.61064 -2.09575
1 1.23078 0.99264 -1.35579
1 1.52714 0.238901 -0.775023
1 0.694006 -0.312203 -0.704109
