50
Atoms. Timestep: 47900000
1 0.00348663 0.0266415 0.029562
1 -0.625819 -0.734931 -0.076769
1 -0.0288694 -0.422402 -0.81629
1 0.0464422 -1.39983 -0.607731
1 -0.806275 -1.47672 -1.12389
1 -0.731968 -2.33033 -0.617456
1 -1.20905 -1.986 0.196143
1 -1.34584 -2.39564 1.10564
1 -2.18149 -2.31445 0.573014
1 -3.0734 -1.90962 0.352114
1 -3.72487 -1.17372 0.141262
1 -3.16406 -1.40325 -0.647992
1 -2.97372 -2.36851 -0.781088
1 -2.56321 -3.13255 -0.290477
1 -2.37504 -3.92257 0.296586
1 -2.65356 -3.4283 1.12026
1 -3.26592 -3.19404 1.87866
1 -2.5534 -2.6788 1.41842
1 -2.37909 -3.42741 2.06224
1 -1.40885 -3.19519 2.02355
1 -1.16172 -2.41201 2.59638
1 -1.90366 -2.59412 3.24208
1 -2.22818 -3.37619 3.77437
1 -2.04598 -2.90342 4.64189
1 -1.37682 -2.16775 4.76835
1 -0.693374 -1.85726 4.1082
1 0.0319369 -1.18614 3.95493
1 -0.202726 -1.07116 4.92455
1 0.638242 -0.552461 5.07857
1 0.585658 -1.55211 5.1016
1 1.04879 -1.00943 5.8062
1 1.98099 -0.985772 5.4575
1 2.27753 -0.751234 4.53423
1 2.94853 -0.739596 3.78527
1 3.81977 -1.18501 3.5496
1 3.05559 -1.20503 2.90337
1 3.42853 -0.745229 2.09218
1 4.09471 -1.49096 1.99706
1 5.08328 -1.45014 2.09115
1 4.57921 -1.84403 1.3231
1 3.8307 -1.3652 0.855284
1 3.46698 -0.444261 1.01096
1 2.49357 -0.501978 1.24627
1 1.73191 -0.245582 0.638658
1 2.52088 0.291739 0.357108
1 1.6216 0.704693 0.475609
1 2.02913 0.449742 1.36043
1 1.28049 0.837143 1.89843
1 1.1973 -0.0906554 1.55417
1 0.409911 -0.0132945 0.939869
