50
Atoms. Timestep: 21200000
1 -0.0081294 -0.0046719 0.0418894
1 0.517493 -0.68787 -0.474682
1 0.934441 -0.193764 -1.23267
1 1.47019 -0.914385 -0.79571
1 1.19893 -1.88003 -0.838099
1 1.5935 -2.60903 -1.40724
1 2.43772 -3.11048 -1.62704
1 1.64541 -3.41477 -2.15013
1 0.674579 -3.62665 -2.30206
1 1.3196 -4.36462 -2.12697
1 0.442412 -4.14166 -1.70977
1 -0.544572 -4.01014 -1.8013
1 -1.26157 -3.32697 -1.92699
1 -1.4736 -2.36534 -2.13231
1 -0.961611 -1.51224 -2.07519
1 -1.75928 -0.957717 -1.86669
1 -2.28133 -1.60092 -2.42905
1 -2.91898 -1.6362 -1.65646
1 -3.11089 -0.682201 -1.89433
1 -3.15249 0.272345 -2.20834
1 -3.09716 0.20008 -1.21631
1 -2.67023 -0.388581 -0.530659
1 -2.4561 -1.272 -0.950245
1 -3.13914 -1.19918 -0.232702
1 -4.02343 -1.41911 0.171261
1 -4.45304 -0.511999 0.206996
1 -4.38962 0.268437 -0.412646
1 -4.24523 1.25053 -0.266014
1 -4.15247 1.4986 0.700414
1 -3.29052 1.82967 1.09906
1 -3.21963 2.04856 0.128336
1 -4.02987 2.27857 -0.412377
1 -3.1523 2.10072 -0.854489
1 -2.69159 1.21906 -0.718015
1 -2.18713 1.40174 -1.56404
1 -1.84557 1.53609 -2.48878
1 -1.00442 2.02543 -2.74314
1 -0.420144 2.72379 -3.15284
1 0.350112 3.27765 -3.4762
1 0.155496 2.34852 -3.79427
1 0.166598 1.36791 -3.60993
1 -0.380602 1.30385 -4.44457
1 -1.1649 0.84187 -4.04998
1 -0.988213 0.0253636 -3.51018
1 -0.861643 0.139103 -2.52345
1 -0.887062 -0.196029 -1.58057
1 -1.80853 -0.588336 -1.50463
1 -1.30778 -0.782291 -0.663078
1 -0.698829 -1.17877 -1.35216
1 -0.552688 -0.480139 -0.651024
