50
Atoms. Timestep: 91500000
1 -0.00391585 0.00906476 0.0264219
1 -0.915149 -0.32678 -0.19618
1 -1.90304 -0.459702 -0.173413
1 -1.55183 -0.0830351 0.676778
1 -2.14679 0.526142 1.19447
1 -2.63266 1.25881 1.67236
1 -2.12395 1.71578 2.40571
1 -1.33137 2.32293 2.34694
1 -1.39914 1.59923 1.65976
1 -1.24906 1.75224 0.680528
1 -0.823356 2.34727 -0.00099119
1 -1.76849 2.66624 -0.0529844
1 -1.96376 3.45812 -0.626111
1 -1.95058 4.20463 -1.28551
1 -1.99457 4.5034 -2.23596
1 -1.23579 3.96093 -2.59726
1 -2.02671 3.59786 -2.10218
1 -1.12054 3.8797 -1.78009
1 -0.571493 4.06228 -0.961637
1 0.072715 4.82719 -0.885021
1 0.20341 4.18491 -1.64238
1 0.901251 4.53855 -2.26608
1 1.76125 4.45519 -2.76628
1 1.55471 4.09312 -3.67747
1 1.61672 3.35358 -3.00756
1 2.43914 3.08298 -3.50344
1 1.83093 2.32162 -3.72534
1 1.43857 1.64347 -4.34578
1 2.17324 1.10472 -3.92233
1 3.06763 1.52682 -3.76511
1 2.86455 0.690317 -4.28238
1 2.73847 0.334671 -3.3494
1 2.68705 -0.333748 -2.60249
1 2.81041 -0.703917 -1.68452
1 2.31572 -1.24302 -1.00918
1 2.30247 -0.243979 -1.02905
1 1.58197 -0.723484 -1.51706
1 0.854226 -0.781563 -2.19885
1 0.9623 0.207454 -2.08422
1 1.54627 0.989666 -1.8765
1 1.81236 1.11591 -2.82796
1 0.924446 1.02511 -3.26662
1 0.148031 1.60698 -3.03336
1 -0.321303 1.93964 -3.85098
1 -0.166181 0.954844 -3.78351
1 -0.694956 1.27735 -2.99555
1 -0.839453 1.70928 -2.103
1 0.0694122 1.28971 -2.05698
1 0.0698502 0.407947 -1.57709
1 0.532482 -0.0439862 -0.814848
