50
Atoms. Timestep: 87400000
1 -0.0139853 0.010655 -0.00699203
1 0.247549 0.779943 0.586315
1 -0.0945153 1.17973 -0.262442
1 0.874337 0.925184 -0.176171
1 1.59986 0.579359 0.419164
1 2.0594 1.43721 0.166367
1 2.52007 1.34912 -0.716795
1 3.37568 1.45831 -0.207244
1 3.33163 1.82881 0.724232
1 3.74775 2.73689 0.718449
1 3.20122 3.57225 0.793573
1 2.93803 4.50324 1.02371
1 3.73767 4.58884 0.422171
1 3.37314 5.51746 0.466281
1 3.97668 5.66694 -0.313132
1 3.56689 6.42019 0.200729
1 2.69249 5.97216 0.0145647
1 2.34749 5.04609 -0.118026
1 1.42394 4.90256 -0.449422
1 0.568146 4.87861 0.0593251
1 0.332366 5.38645 -0.769821
1 -0.47972 5.95948 -0.898431
1 -1.05097 6.42908 -1.57171
1 -1.66704 7.0249 -1.05592
1 -1.32747 7.32715 -0.158533
1 -0.33192 7.39098 -0.163279
1 -0.507323 6.4928 0.248481
1 -1.47775 6.42501 0.476132
1 -2.26249 6.7146 1.0292
1 -3.01167 7.36858 1.17905
1 -3.86047 7.61502 1.63968
1 -4.22452 6.91076 1.03487
1 -3.35235 6.66224 0.613601
1 -3.35659 5.68201 0.821873
1 -4.24666 5.46871 0.436639
1 -4.19172 5.37627 -0.56546
1 -5.05613 5.20032 -0.109477
1 -4.60523 4.31881 -0.224932
1 -4.33991 3.35997 -0.178519
1 -4.14904 2.58724 -0.789603
1 -3.35779 3.19797 -0.784775
1 -3.14966 2.22277 -0.897088
1 -3.05431 1.89827 0.0422781
1 -2.11421 2.09343 0.334129
1 -1.84819 1.13853 0.198553
1 -2.05132 0.593672 -0.61787
1 -1.95129 -0.214937 -1.19218
1 -1.23704 0.462848 -1.36826
1 -0.807841 -0.425151 -1.21056
1 -0.719269 -0.663817 -0.243052
