100
Atoms. Timestep: 1859600000
1 0.0497185 -0.0480129 0.00436926
1 0.998204 -0.276372 0.216641
1 1.97957 -0.432313 0.163177
1 2.96346 -0.59948 0.190414
1 3.9375 -0.359325 0.139728
1 4.89577 -0.627787 0.203777
1 5.902 -0.60611 0.263749
1 6.90747 -0.582252 0.304265
1 7.88072 -0.731908 0.130305
1 8.83442 -0.632827 0.423037
1 9.76534 -0.843383 0.132989
1 10.7532 -0.891765 0.297139
1 11.73 -0.683878 0.316525
1 12.7278 -0.645585 0.284057
1 13.7008 -0.425313 0.380694
1 14.7033 -0.416371 0.417217
1 15.691 -0.306944 0.590188
1 16.6868 -0.25544 0.591427
1 17.6793 -0.165086 0.459165
1 18.6497 -0.392058 0.53139
1 19.6324 -0.613024 0.525506
1 20.6296 -0.556109 0.475733
1 21.5602 -0.300972 0.735215
1 22.4831 -0.600008 0.518908
1 23.4692 -0.713667 0.429475
1 24.3722 -0.91728 0.809786
1 25.281 -1.24636 0.549787
1 26.2493 -1.01899 0.424341
1 27.2324 -1.14247 0.577137
1 28.1711 -1.24216 0.255086
1 29.1383 -1.3508 0.440813
1 29.9111 -0.728446 0.295031
1 30.904 -0.74283 0.313498
1 31.8056 -1.06972 0.0293312
1 32.7926 -0.933879 0.0974519
1 33.7135 -0.584377 -0.086045
1 34.6033 -0.446908 -0.522543
1 35.3179 -0.880013 0.024391
1 36.2724 -0.781161 -0.27569
1 37.2027 -0.512314 -0.0362269
1 38.0846 -0.0474497 -0.0495722
1 38.865 -0.268927 -0.627767
1 39.8378 -0.307987 -0.425335
1 40.7447 -0.579736 -0.765756
1 41.7444 -0.501865 -0.782953
1 42.0847 -1.39553 -0.481949
1 42.9646 -1.14637 -0.890467
1 43.7193 -1.57326 -1.38834
1 44.6967 -1.6778 -1.2244
1 45.5665 -1.7423 -1.70843
1 46.1916 -0.96009 -1.64171
1 45.624 -0.714432 -0.857175
1 44.9919 -1.48271 -0.788132
1 44.5619 -1.61761 0.103328
1 43.805 -1.17119 0.577469
1 42.8117 -1.26108 0.501223
1 41.9427 -0.798751 0.3581
1 40.9858 -0.571545 0.264983
1 40.0638 -0.241943 0.476068
1 39.0808 -0.417395 0.417264
1 38.3252 -0.0749269 -0.135541
1 37.3909 -0.225332 -0.493719
1 36.499 0.228496 -0.527287
1 35.6306 0.227294 -1.0246
1 34.7386 0.421693 -0.618501
1 33.7724 0.146699 -0.588029
1 32.8023 0.343691 -0.44012
1 31.8453 0.084504 -0.297205
1 30.9951 -0.113702 -0.790591
1 30.0246 -0.234236 -0.591837
1 29.0468 -0.321199 -0.785264
1 28.055 -0.383957 -0.671575
1 27.0591 -0.384275 -0.522438
1 26.1264 -0.712942 -0.403254
1 25.1969 -0.597417 -0.0300816
1 24.22 -0.378638 -0.0480576
1 23.2759 -0.486032 0.280988
1 22.2836 -0.495603 0.395604
1 21.3326 -0.794458 0.455365
1 20.3568 -0.651278 0.614265
1 19.3946 -0.830242 0.428097
1 18.4388 -1.13285 0.461744
1 17.5251 -1.54419 0.404339
1 16.5298 -1.62432 0.380781
1 15.535 -1.50029 0.320928
1 14.6264 -1.53638 -0.0884856
1 13.7321 -1.10484 -0.15247
1 12.7352 -1.13263 -0.275073
1 11.799 -0.979159 0.0373328
1 10.8706 -0.633457 0.164718
1 9.87749 -0.610679 0.301791
1 8.88954 -0.605703 0.210165
1 7.91321 -0.399574 0.238269
1 6.93397 -0.200276 0.173544
1 6.01878 0.175113 -0.00011378
1 5.02319 0.0617414 -0.0559557
1 4.0242 0.133754 -0.129744
1 3.02634 0.182222 -0.230946
1 2.03332 0.0584665 -0.214279
1 1.03516 0.0218217 -0.156901
