100
Atoms. Timestep: 1716100000
1 0.0690171 0.0156439 -0.000724133
1 1.04889 0.130466 -0.133589
1 2.01857 0.115692 -0.347259
1 2.97778 0.298241 -0.573872
1 3.96799 0.168803 -0.623138
1 4.96407 0.272329 -0.552552
1 5.95335 0.261861 -0.403268
1 6.94739 0.213775 -0.253812
1 7.9484 0.289362 -0.218161
1 8.91831 0.112371 -0.378735
1 9.8995 0.158012 -0.593125
1 10.876 0.354193 -0.491575
1 11.8676 0.443872 -0.549657
1 12.7188 0.655156 -1.03424
1 13.6999 0.786787 -0.935107
1 14.698 0.80345 -0.972359
1 15.6539 0.530684 -0.843343
1 16.6207 0.734609 -0.683575
1 17.6051 0.911641 -0.550861
1 18.6061 0.956372 -0.523909
1 19.5957 1.12266 -0.578023
1 20.5932 1.12999 -0.589081
1 21.52 1.09136 -0.20953
1 22.4756 1.28798 -0.395226
1 23.4719 1.21913 -0.415308
1 24.4268 1.39586 -0.649093
1 25.4222 1.47918 -0.609987
1 26.3491 1.10988 -0.705643
1 27.2406 1.20652 -1.14342
1 28.2219 1.04627 -1.29376
1 29.2202 0.938596 -1.21607
1 30.1924 0.900252 -1.42841
1 31.1391 0.623707 -1.5766
1 32.0856 0.665616 -1.24911
1 33.077 0.74832 -1.10836
1 33.9011 1.30987 -1.10428
1 34.8658 1.47018 -1.31405
1 35.8365 1.72127 -1.25188
1 36.7911 1.48227 -1.0571
1 37.7943 1.50996 -1.02783
1 38.7769 1.50912 -1.20683
1 39.6553 1.33739 -1.64182
1 40.5222 1.08065 -2.06537
1 41.3578 1.07615 -2.62397
1 42.2408 0.954309 -3.07276
1 43.2015 1.06763 -3.34631
1 43.366 0.653535 -2.44376
1 43.1859 0.394758 -3.3985
1 44.0847 0.0194095 -3.63481
1 44.1576 0.35012 -2.69772
1 43.9728 -0.534885 -2.2715
1 43.7394 -0.146695 -1.38056
1 43.9912 0.593384 -0.753602
1 44.4149 0.670187 0.150391
1 43.6449 0.578086 -0.478143
1 42.8714 1.16285 -0.694629
1 42.2968 0.892747 -1.46299
1 41.4927 0.898999 -0.877557
1 40.6169 0.491427 -1.14734
1 39.7394 0.171438 -0.779997
1 38.7813 0.0357979 -1.02939
1 37.8532 0.279765 -0.746958
1 36.8579 0.344444 -0.705769
1 36.0401 0.858968 -0.961057
1 35.0768 0.612504 -1.00925
1 34.102 0.466515 -0.835286
1 33.2906 0.819477 -0.365285
1 32.3242 0.657559 -0.55574
1 31.3774 0.449246 -0.293815
1 30.4479 0.753407 -0.489507
1 29.4758 0.845815 -0.300375
1 28.4696 0.991634 -0.291106
1 27.5047 0.948181 -0.573549
1 26.5164 0.997238 -0.482352
1 25.5444 0.775411 -0.478728
1 24.5435 0.792412 -0.426405
1 23.6066 0.859987 -0.0764841
1 22.6155 0.899227 -0.198057
1 21.6303 0.693347 -0.269775
1 20.6678 0.466239 -0.166331
1 19.6929 0.673706 -0.255148
1 18.6965 0.610557 -0.237106
1 17.7034 0.506615 -0.13455
1 16.709 0.566587 -0.22537
1 15.7233 0.414984 -0.296613
1 14.7685 0.10577 -0.310765
1 13.7941 0.179327 -0.519032
1 12.7964 0.258893 -0.550975
1 11.8018 0.165402 -0.52295
1 10.8121 0.0534768 -0.359286
1 9.84348 -0.128414 -0.504158
1 8.894 0.152304 -0.43445
1 7.89267 0.128942 -0.335543
1 6.91144 0.119991 -0.152253
1 5.92472 0.178098 -0.281451
1 4.97109 -0.116824 -0.348943
1 3.98074 0.0125118 -0.238337
1 2.99582 0.0173633 -0.064487
1 2.01481 -0.157821 0.0433644
1 1.06292 0.149866 0.0222206
