100
Atoms. Timestep: 1300200000
1 0.0923067 0.00701126 0.0314354
1 1.08002 0.154615 -0.0599248
1 2.06431 -0.0193205 -0.182434
1 3.0541 -0.146488 -0.0528353
1 4.05654 -0.0620437 -0.0964304
1 5.05478 -0.0576546 -0.101893
1 6.04833 -0.19682 -0.0838495
1 7.04289 -0.339223 -0.134968
1 8.03652 -0.241505 -0.227802
1 9.0255 -0.179954 -0.381457
1 10.0281 -0.196808 -0.421915
1 11.0161 -0.201766 -0.265381
1 12.0035 -0.0589561 -0.362067
1 12.98 -0.215343 -0.414865
1 13.9544 -0.028348 -0.483307
1 14.8846 -0.254092 -0.17279
1 15.8537 -0.0141075 -0.273464
1 16.8331 -0.223191 -0.412279
1 17.8308 -0.172349 -0.414364
1 18.7778 -0.15363 -0.745781
1 19.7386 -0.247144 -1.00353
1 20.7195 -0.065511 -0.949116
1 21.6966 -0.134197 -1.14679
1 22.6466 -0.113935 -0.845381
1 23.6221 -0.321908 -0.816716
1 24.5861 -0.159888 -1.02887
1 25.4509 -0.0530554 -0.538815
1 26.4394 -0.0207119 -0.358688
1 27.3966 -0.14421 -0.080354
1 28.3864 -0.110805 0.0327845
1 29.3614 -0.185745 -0.160105
1 30.2786 -0.383059 -0.530045
1 31.2769 -0.3349 -0.474243
1 32.2446 -0.243628 -0.682648
1 33.0221 -0.816178 -0.957151
1 33.949 -0.561167 -1.22882
1 34.9417 -0.657361 -1.2766
1 35.8753 -1.03704 -1.30175
1 36.6416 -1.42868 -0.794661
1 37.4502 -1.83956 -0.363635
1 37.9379 -2.54407 0.150896
1 38.8239 -2.46198 -0.296719
1 39.7671 -2.24832 -0.541887
1 40.6804 -1.96908 -0.84538
1 41.2537 -1.7145 -1.62724
1 42.1711 -1.78363 -2.00952
1 42.9892 -2.3275 -1.82887
1 43.8639 -2.54855 -2.25774
1 44.168 -3.23579 -1.58129
1 44.6086 -2.4073 -1.22706
1 44.2492 -1.47957 -1.34851
1 43.6815 -0.775301 -1.77924
1 44.373 -1.22666 -1.21829
1 44.2517 -0.34552 -1.6724
1 43.4312 0.141225 -1.39825
1 42.4467 -0.0380343 -1.33403
1 41.7743 0.204395 -2.03341
1 40.8331 0.350685 -1.72782
1 39.9672 -0.131857 -1.5648
1 39.0001 -0.412523 -1.50446
1 38.1711 0.11762 -1.34204
1 37.1845 0.0748956 -1.22577
1 36.531 0.1642 -0.468073
1 35.5758 0.397831 -0.319465
1 34.616 0.63115 -0.192448
1 33.6971 0.44897 -0.554249
1 32.7615 0.744211 -0.743644
1 31.8002 0.528082 -0.888971
1 30.8609 0.547833 -0.530857
1 30.0216 0.00618811 -0.596933
1 29.2095 0.502574 -0.285168
1 28.2152 0.580324 -0.404672
1 27.2243 0.568456 -0.55393
1 26.4054 0.30805 -0.0473677
1 25.4192 0.296155 0.126218
1 24.4647 0.576491 0.268696
1 23.4832 0.50244 0.452185
1 22.5232 0.436829 0.715465
1 21.5259 0.410469 0.589038
1 20.589 0.416162 0.943781
1 19.6665 0.462465 0.566753
1 18.6674 0.523025 0.482949
1 17.7003 0.341011 0.289553
1 16.7519 0.583465 0.499585
1 15.7607 0.483621 0.515424
1 14.8287 0.25174 0.264564
1 13.8712 -0.0346196 0.340212
1 12.9111 -0.125925 0.0873264
1 11.9082 -0.0886699 0.162231
1 10.9205 0.111417 0.0913367
1 9.94598 0.22255 -0.0822655
1 8.948 0.106209 -0.123046
1 7.99382 -0.177892 -0.00335373
1 7.0009 -0.154089 0.0757905
1 6.02358 -0.0629405 -0.107401
1 5.03666 0.0179103 -0.225378
1 4.04217 0.0353498 -0.268691
1 3.04882 0.134229 -0.318653
1 2.04979 0.0853586 -0.336941
1 1.07275 0.152667 -0.122631
