100
Atoms. Timestep: 1437800000
1 0.170116 -0.0114466 -0.0589754
1 1.16421 0.00180524 0.02806
1 2.16592 0.0198015 0.0200776
1 3.10965 0.139731 -0.292264
1 4.08027 0.0810431 -0.0528901
1 5.04548 -0.190776 -0.0636113
1 6.03813 -0.184082 -0.151397
1 7.02673 0.00321804 -0.115231
1 8.02481 -0.0203863 -0.0352253
1 9.0234 -0.0764666 -0.0356661
1 10.0161 0.0493644 0.0509794
1 11.0055 0.143235 -0.0626531
1 11.9674 0.411484 -0.162664
1 12.9333 0.344851 0.06632
1 13.9211 0.201958 0.049432
1 14.9153 0.091562 -0.0182259
1 15.8935 -0.140973 -0.0471282
1 16.8296 -0.320961 0.262821
1 17.8295 -0.287047 0.292317
1 18.8072 -0.405362 0.513768
1 19.7799 -0.668141 0.469747
1 20.7616 -0.556258 0.644871
1 21.7593 -0.635404 0.645463
1 22.761 -0.610379 0.506765
1 23.7564 -0.525396 0.383937
1 24.6907 -0.855859 0.277456
1 25.6789 -1.01073 0.296387
1 26.3989 -1.50295 0.78098
1 27.3423 -1.81392 0.864681
1 28.3351 -1.65778 0.761587
1 29.3119 -1.60795 0.563032
1 30.2873 -1.83483 0.567324
1 31.2353 -1.98679 0.84127
1 32.1827 -1.92062 0.531802
1 33.1813 -1.88376 0.482964
1 34.1347 -1.76616 0.768793
1 35.0721 -1.42412 0.88938
1 36.0692 -1.50418 1.03308
1 37.0747 -1.55643 1.02914
1 37.9966 -1.17157 1.13649
1 38.9272 -1.52898 1.21472
1 39.8253 -1.51615 0.774491
1 40.7807 -1.24459 0.707096
1 41.6348 -0.748753 0.852956
1 42.6273 -0.627079 0.898055
1 43.3333 -1.28756 1.15795
1 44.3123 -1.47021 1.0757
1 45.1659 -1.68884 1.54499
1 45.9694 -2.27722 1.65184
1 46.4095 -2.69343 0.860395
1 46.4441 -3.6285 0.51012
1 45.4697 -3.41698 0.446076
1 45.7448 -3.29227 1.39832
1 44.9185 -3.49355 0.860494
1 43.9431 -3.35834 0.729154
1 42.9967 -3.42905 0.402485
1 42.0585 -3.16213 0.613503
1 41.1827 -3.14436 0.137442
1 40.3213 -2.64929 0.268144
1 39.413 -2.25445 0.34794
1 38.4965 -1.97571 0.0476257
1 37.5214 -1.83103 0.181601
1 36.5447 -1.64405 0.0459795
1 35.7013 -1.12266 -0.0354395
1 34.7739 -0.769914 -0.193584
1 33.7811 -0.793518 -0.156463
1 32.8276 -0.901881 0.114651
1 31.8541 -0.938513 0.323772
1 30.9866 -1.10558 -0.147671
1 30.014 -1.06972 0.101692
1 29.0876 -1.43984 0.0636765
1 28.1473 -1.13859 0.22637
1 27.1654 -1.29571 0.218459
1 26.1602 -1.34267 0.254447
1 25.2546 -1.36146 -0.155063
1 24.3059 -1.18818 0.103213
1 23.3786 -1.56548 0.118059
1 22.3838 -1.46936 0.15647
1 21.3919 -1.43976 0.0795379
1 20.3965 -1.3377 0.0453197
1 19.4386 -1.22421 0.317915
1 18.4842 -1.10258 0.57929
1 17.5603 -0.771239 0.42388
1 16.5648 -0.774346 0.355756
1 15.6049 -0.930598 0.132454
1 14.6285 -0.820273 0.295569
1 13.685 -1.13776 0.306358
1 12.6941 -0.998226 0.257523
1 11.7766 -0.693552 0.0227827
1 10.8119 -0.843421 0.243259
1 9.8549 -0.579794 0.121751
1 8.85502 -0.628518 0.152677
1 7.88869 -0.589136 0.431979
1 6.90742 -0.672624 0.280636
1 5.92286 -0.601755 0.434199
1 4.93178 -0.460008 0.407311
1 3.93404 -0.424603 0.405122
1 3.07261 0.0852192 0.390385
1 2.11037 0.200724 0.165138
1 1.11731 0.288195 0.0742039
