100
Atoms. Timestep: 1603300000
1 0.0526518 -0.00216236 0.0158026
1 1.04447 0.121209 0.118561
1 2.03449 0.150243 -0.0157972
1 3.01039 -0.0661662 -0.0147027
1 4.00632 -0.146734 -0.0760578
1 5.0046 -0.129304 -0.000819402
1 5.99974 0.00924641 -0.0397598
1 6.97803 -0.0622747 0.167647
1 7.9445 0.158914 0.00127637
1 8.94225 0.174374 0.0440787
1 9.92847 0.0777697 -0.0521168
1 10.8718 -0.193615 0.120654
1 11.7653 -0.0354054 -0.323901
1 12.7622 -0.161728 -0.309336
1 13.7639 -0.0723689 -0.265364
1 14.761 0.00176506 -0.33783
1 15.7573 -0.175617 -0.36044
1 16.7305 -0.292769 -0.545881
1 17.6986 -0.0912596 -0.663916
1 18.6915 0.02576 -0.692023
1 19.6857 -0.0903086 -0.719487
1 20.6621 0.110963 -0.841396
1 21.6504 0.237253 -0.758458
1 22.5959 0.137182 -1.06804
1 23.5866 -0.0197965 -1.0148
1 24.4472 -0.460428 -1.23176
1 25.448 -0.386878 -1.2376
1 26.3808 -0.0818075 -1.41161
1 27.3668 -0.247394 -1.50529
1 28.3499 -0.0764311 -1.37606
1 29.2847 -0.163539 -1.045
1 30.2594 0.0296695 -1.11975
1 31.1496 0.406708 -1.36901
1 32.1477 0.400222 -1.45152
1 33.1395 0.284676 -1.47015
1 34.0524 0.0609145 -1.12853
1 34.9864 -0.18269 -0.862306
1 35.9811 -0.196576 -0.78072
1 36.9662 -0.384634 -0.830316
1 37.9589 -0.345271 -0.959324
1 38.6506 -0.236891 -0.242137
1 39.5363 -0.676574 -0.114743
1 40.4374 -0.275346 0.0448901
1 41.18 -0.690534 0.573566
1 41.8545 -1.34645 0.22121
1 42.3526 -1.8061 -0.520706
1 42.9976 -1.58888 0.209379
1 43.9404 -1.80267 -0.0616519
1 44.7946 -1.70356 0.4467
1 44.0435 -1.18521 0.0466303
1 43.5697 -0.607076 -0.616838
1 42.9559 0.191104 -0.698784
1 43.1616 -0.587522 -1.28258
1 42.283 -0.302089 -0.908371
1 41.5634 -0.912488 -1.24936
1 41.6823 -1.39468 -2.11722
1 41.0692 -1.12419 -2.86277
1 40.4865 -1.48512 -2.12881
1 39.5206 -1.62544 -1.90274
1 38.8697 -1.9333 -1.21535
1 38.1264 -1.32542 -0.928238
1 37.206 -0.937368 -0.841322
1 36.2726 -0.745241 -0.553183
1 35.3505 -0.403054 -0.72961
1 34.6357 0.285034 -0.855414
1 33.7039 0.669764 -0.850657
1 32.7663 0.854669 -0.569791
1 31.7874 0.989364 -0.417182
1 30.7931 0.904943 -0.358319
1 29.8237 1.06236 -0.167661
1 28.8628 0.979135 -0.415678
1 27.8994 0.741345 -0.601753
1 26.9368 0.684013 -0.353869
1 25.9702 0.430888 -0.303658
1 25.0009 0.296037 -0.53011
1 24.0829 0.115956 -0.175756
1 23.1202 -0.00404495 0.0648403
1 22.1679 0.0615909 -0.240953
1 21.2308 0.0699402 0.122853
1 20.4371 0.402124 -0.392527
1 19.4347 0.42277 -0.457138
1 18.4479 0.525706 -0.604458
1 17.5396 0.114767 -0.638278
1 16.5514 0.197723 -0.533311
1 15.5627 0.0845985 -0.631472
1 14.5869 -0.0241772 -0.459863
1 13.5936 -0.131031 -0.4415
1 12.6103 -0.279858 -0.570197
1 11.8109 -0.504143 -0.0159512
1 10.8186 -0.393059 -0.0610076
1 9.8425 -0.179057 -0.113792
1 8.84216 -0.0842117 -0.0701195
1 7.87913 0.120415 0.0886389
1 6.90736 -0.0929672 0.0964191
1 5.97243 0.243139 0.24953
1 5.03921 -0.070157 0.0800977
1 4.03996 -0.0948073 0.0560363
1 3.04236 0.0075609 0.0360871
1 2.05359 -0.123649 -0.00222435
1 1.05738 0.00262974 0.0477374
