1.000000000000000000e+00 3.996584357624170636e+00 3.519120002735848018e+00
1.500000000000000000e+00 8.358423292840200247e+00 7.330133026042300770e+00
2.000000000000000000e+00 1.479903598116736063e+01 1.277495431117499969e+01
2.500000000000000000e+00 2.280383549035532553e+01 1.990272038725369796e+01
3.000000000000000000e+00 3.267426930727788204e+01 2.930177913920559263e+01
3.500000000000000000e+00 4.532115319014199173e+01 3.921404165136382147e+01
4.000000000000000000e+00 5.649348184723774580e+01 5.051458621375270042e+01
4.500000000000000000e+00 7.159756894445992259e+01 6.339282552835487650e+01
5.000000000000000000e+00 8.600990620165066503e+01 7.759268881488061709e+01
5.500000000000000000e+00 1.046777724125091424e+02 9.655854895312413078e+01
6.000000000000000000e+00 1.207475258744429851e+02 1.129086326400989435e+02
6.500000000000000000e+00 1.379159021659823736e+02 1.303522490622093244e+02
7.000000000000000000e+00 1.598313982641470830e+02 1.510633303294007703e+02
7.500000000000000000e+00 1.873809624433746990e+02 1.740771502766429251e+02
8.000000000000000000e+00 2.003455449861060629e+02 1.915760296023767921e+02
8.500000000000000000e+00 2.219720581653144791e+02 2.134451676294621620e+02
9.000000000000000000e+00 2.470749436047576069e+02 2.404978184468349411e+02
9.500000000000000000e+00 2.641309428053110082e+02 2.613430302609177147e+02
1.000000000000000000e+01 2.880935308911774655e+02 2.842913398429656695e+02
1.100000000000000000e+01 3.341394694387054756e+02 3.285447225181320619e+02
1.200000000000000000e+01 3.766699063301846877e+02 3.743074386717923971e+02
1.300000000000000000e+01 4.149092524501936055e+02 4.109734277219728256e+02
1.400000000000000000e+01 4.448585793263610526e+02 4.453876483242797804e+02
1.500000000000000000e+01 4.998682709925859626e+02 4.840840158755781317e+02
1.600000000000000000e+01 5.209244125706004525e+02 5.224563005225800225e+02
1.700000000000000000e+01 5.532053492735187774e+02 5.500032241645802742e+02
1.800000000000000000e+01 5.717179755973876354e+02 5.712143429135948054e+02
1.900000000000000000e+01 6.044216568343830431e+02 6.031940497956636591e+02
2.000000000000000000e+01 6.452474942468209065e+02 6.438672894921980969e+02
2.100000000000000000e+01 6.451323801273242680e+02 6.428690667655772586e+02
2.200000000000000000e+01 6.647434039744056236e+02 6.686736408092999682e+02
2.300000000000000000e+01 6.975806641238814336e+02 6.978169420494159567e+02
2.400000000000000000e+01 7.316295858854593916e+02 7.384979010729699667e+02
2.500000000000000000e+01 7.390617763573768570e+02 7.376822759406971954e+02
2.600000000000000000e+01 7.687584907616650298e+02 7.661387679669924182e+02
2.700000000000000000e+01 7.758872684048051269e+02 7.759759531968135207e+02
2.800000000000000000e+01 7.810061422338062584e+02 7.754596510753740404e+02
