100
Atoms. Timestep: 1680600000
1 0.0314201 0.0522901 0.011802
1 0.638494 0.448664 -0.677451
1 0.575318 1.38345 -1.02502
1 0.394449 0.426214 -0.807858
1 0.428826 -0.506747 -1.15436
1 0.161429 -0.705668 -0.206668
1 0.267172 0.195739 0.222783
1 0.809213 -0.0875397 1.01318
1 0.998253 -0.416103 0.0852917
1 1.94834 -0.389531 0.38778
1 1.54583 -1.2081 0.796996
1 1.99745 -1.11571 1.68456
1 2.0629 -0.847063 2.64844
1 2.07064 -1.46751 3.42977
1 2.5531 -0.594158 3.33345
1 2.02213 -0.199557 4.08401
1 1.8379 -0.821105 4.85444
1 1.0116 -1.20915 5.27276
1 0.920331 -1.63629 6.17894
1 1.86659 -1.83261 6.4588
1 2.13868 -2.78734 6.39365
1 2.61671 -1.939 6.16665
1 2.61538 -1.17817 5.51774
1 2.61419 -0.663274 6.37633
1 2.7223 -1.26582 7.16948
1 2.40791 -1.05381 8.0892
1 2.25216 -1.35375 7.15777
1 1.43831 -0.773112 7.21092
1 2.34357 -0.571259 6.83408
1 3.28733 -0.482204 6.51435
1 2.52494 -0.00309886 6.94868
1 3.09955 -0.543109 7.55665
1 2.3965 -0.435173 6.85048
1 3.12487 -0.488767 7.53439
1 2.79227 -0.933745 8.36132
1 2.16892 -1.113 7.59345
1 2.67097 -0.378176 8.03525
1 1.96174 -0.235688 7.33641
1 1.12304 -0.385004 6.8086
1 1.97076 -0.486643 7.34013
1 2.33288 0.442872 7.318
1 2.65435 0.319655 6.37609
1 3.22194 0.297984 7.20287
1 3.15316 -0.536487 6.66477
1 3.52487 -1.31257 7.18025
1 2.53796 -1.37847 7.02756
1 1.66768 -1.20015 7.4863
1 2.41183 -1.74044 7.0781
1 1.55968 -2.09136 6.69213
1 0.686436 -2.49787 6.95843
1 -0.0276726 -3.08359 7.33726
1 0.221116 -2.55423 8.14834
1 1.17663 -2.78665 8.32919
1 2.13079 -2.98327 8.53346
1 2.58436 -2.69432 9.3764
1 2.14242 -3.57079 9.18199
1 2.88166 -3.06301 8.71759
1 3.62678 -2.46714 8.99267
1 3.61794 -3.05258 8.17655
1 2.84444 -2.4606 8.36893
1 3.06445 -1.82169 9.09794
1 3.63222 -1.2757 9.70995
1 4.13718 -1.05032 8.87842
1 4.17635 -1.86058 8.29028
1 4.0005 -1.57828 9.23255
1 4.88102 -1.12002 9.10769
1 4.69492 -0.676391 8.23389
1 4.91702 0.11345 7.65497
1 4.16073 0.627236 7.2387
1 3.87437 -0.263732 6.88477
1 3.00543 0.205244 6.72434
1 3.47872 -0.261348 5.975
1 3.96658 0.00668409 6.81163
1 4.07948 0.931428 6.48186
1 4.07341 0.914767 7.48591
1 4.08727 0.750315 6.49338
1 4.65145 1.41928 6.01522
1 4.44927 2.27755 6.49724
1 5.23713 1.68369 6.68498
1 4.71248 2.06882 5.93251
1 4.19431 1.57165 5.22913
1 4.4022 0.668912 4.84888
1 5.03929 1.02762 4.15396
1 4.65814 0.379889 3.50065
1 3.78885 0.88837 3.507
1 3.44096 1.26926 4.36171
1 3.54642 0.736731 3.52217
1 2.58037 0.644621 3.28616
1 2.28778 0.950248 2.37462
1 2.5117 0.576678 1.47126
1 2.8424 -0.357766 1.64509
1 1.94494 -0.449302 1.22041
1 1.11833 -0.311961 0.680508
1 1.18381 -1.06164 0.0179187
1 0.871203 -2.01228 0.0272909
1 0.823594 -1.13846 0.501505
1 1.15793 -0.20372 0.447073
1 2.11244 -0.406228 0.248346
1 1.42534 -0.125931 -0.418696
1 0.595171 0.28464 -0.787191
