100
Atoms. Timestep: 1206300000
1 -0.00552073 0.0564971 -0.0437964
1 0.555399 -0.22738 0.728958
1 0.774373 0.329417 -0.0731027
1 0.55348 0.952645 0.68777
1 0.17894 1.6987 0.132865
1 -0.672392 1.85385 -0.358385
1 -0.123894 1.49088 0.395759
1 -0.632702 0.641168 0.56145
1 -0.213637 1.45449 0.140083
1 -0.75472 2.05409 0.724699
1 -1.05051 2.99053 0.905329
1 -0.995547 3.47821 0.0358264
1 -1.1383 3.4666 -0.949967
1 -1.38282 3.26965 0.00216875
1 -1.24529 4.25681 -0.137969
1 -0.829327 5.14783 0.0605519
1 -0.650095 5.18315 1.04631
1 -0.104661 5.50536 0.271546
1 -1.01139 5.07573 0.30901
1 -1.10571 5.77902 -0.392203
1 -0.162648 6.01579 -0.603733
1 0.649414 6.57574 -0.787364
1 1.55123 6.60157 -1.20635
1 2.50172 6.88394 -1.11767
1 3.29591 6.47631 -0.680912
1 2.40321 6.70467 -1.06277
1 2.07217 7.08124 -0.199873
1 2.84594 7.29757 0.397265
1 3.82995 7.42067 0.313883
1 3.23195 8.0977 -0.115337
1 2.2858 8.36381 -0.293785
1 2.62686 8.59922 -1.20823
1 2.12188 8.44025 -0.355452
1 2.69688 7.7194 -0.747677
1 2.82351 7.53675 0.227832
1 1.97416 7.73149 0.715176
1 1.8716 7.8698 1.69807
1 1.85434 7.26187 2.49373
1 1.1177 6.82138 1.9808
1 0.916727 6.989 2.94755
1 -0.0452957 7.23597 3.06325
1 -0.233245 6.52557 3.73449
1 0.626467 6.06078 3.52052
1 0.241714 5.24206 3.08546
1 0.591835 4.92854 3.9668
1 1.3858 4.5237 3.51206
1 0.901879 5.1248 4.14775
1 0.0638325 5.55833 4.47621
1 0.914516 5.47789 4.99676
1 1.03106 6.26533 4.39755
1 1.39082 6.5648 3.50846
1 1.85353 5.97204 2.85087
1 2.27668 5.15231 3.23515
1 1.52466 4.49034 3.28041
1 0.669519 4.18455 3.6943
1 1.27601 4.25981 2.90143
1 2.19035 4.25792 3.31042
1 2.41852 4.22127 2.34169
1 1.78512 4.64921 2.99014
1 1.53399 5.4678 3.50637
1 0.851481 4.80846 3.80821
1 0.938275 3.85496 3.53418
1 0.887622 3.42495 2.62998
1 1.14091 4.37665 2.43578
1 0.4652 3.93762 3.02233
1 1.22333 4.23393 3.61286
1 1.9829 3.89863 4.1729
1 2.20303 2.97288 4.47631
1 1.54866 2.69702 3.77218
1 2.09539 1.86372 3.70355
1 1.52174 1.40106 4.38691
1 2.03207 0.560489 4.50592
1 2.46942 1.12511 3.80224
1 2.1248 1.33683 4.71954
1 2.725 1.91808 4.15587
1 2.2901 1.4703 3.37761
1 1.76367 1.37736 2.53401
1 1.313 0.491634 2.55562
1 2.07474 0.513152 3.20228
1 1.30659 0.905021 2.69539
1 1.42758 1.06726 1.71217
1 0.828579 1.17613 0.921195
1 0.695153 0.696077 0.052691
1 0.778769 -0.301364 0.0624525
1 -0.199826 -0.371771 -0.123504
1 -0.74491 -0.962604 -0.72555
1 -0.653119 -0.543131 0.182349
1 -0.0126426 -0.887038 -0.498083
1 0.397593 -0.921018 0.417648
1 -0.165804 -1.67462 0.750253
1 0.481954 -1.92582 0.0318864
1 0.41362 -1.71685 -0.943392
1 -0.366148 -2.12983 -0.482309
1 0.0113996 -2.84782 -1.07997
1 0.934704 -2.93686 -1.46546
1 0.494777 -2.10527 -1.12027
1 0.998987 -2.96623 -0.999118
1 0.778103 -2.06402 -0.617666
1 0.568969 -1.56502 0.224323
1 -0.120435 -0.849797 0.371203
