100
Atoms. Timestep: 1400700000
1 0.0586777 -0.017156 -0.0487961
1 0.751186 -0.0754064 -0.760657
1 0.235035 0.420768 -1.46007
1 0.814134 0.416102 -0.649796
1 -0.159464 0.225341 -0.718413
1 -0.398726 -0.638496 -0.267683
1 -1.29826 -1.05113 -0.129162
1 -1.10989 -0.314307 -0.775975
1 -1.58522 -0.609901 -1.60443
1 -2.20628 -1.24812 -1.14497
1 -1.61677 -0.656688 -0.590218
1 -2.45962 -0.181101 -0.83619
1 -3.24225 0.244971 -1.30223
1 -3.40296 0.506339 -0.342097
1 -2.73941 0.0612484 -0.949687
1 -3.18745 0.693512 -1.59052
1 -4.17564 0.630187 -1.43153
1 -4.34891 1.55931 -1.76669
1 -4.63654 2.02376 -2.60525
1 -5.61235 1.80553 -2.65954
1 -4.73713 1.80891 -3.13415
1 -4.27373 2.0765 -2.29259
1 -3.38823 2.28671 -2.70707
1 -3.45968 1.55669 -3.38876
1 -3.76539 2.42923 -3.00636
1 -4.61068 2.14394 -2.5475
1 -3.79075 1.59361 -2.38221
1 -3.70493 1.32477 -3.34508
1 -4.04231 1.2459 -4.28387
1 -3.63605 0.796306 -3.49214
1 -3.30759 0.805196 -2.54572
1 -4.09745 0.927646 -1.94604
1 -4.22194 0.740918 -0.978072
1 -4.21642 1.28089 -0.131807
1 -4.89129 0.943953 -0.790318
1 -5.28872 1.00885 -1.70689
1 -5.1977 0.553912 -0.825089
1 -4.92565 -0.313728 -1.23789
1 -4.03243 -0.338309 -1.69108
1 -3.91497 -0.340527 -0.696074
1 -3.5867 0.52443 -0.31686
1 -4.55773 0.286712 -0.409837
1 -4.06507 -0.541866 -0.144816
1 -3.55646 -0.25305 -0.95531
1 -2.98826 0.413469 -0.473512
1 -2.87269 -0.309136 -1.14792
1 -2.45628 0.236636 -1.8707
1 -2.4097 -0.755295 -1.99736
1 -1.99165 -1.65176 -1.82108
1 -2.11463 -1.015 -1.06407
1 -2.11195 -0.362723 -0.302833
1 -2.32077 -0.816648 0.56038
1 -2.91677 -1.55567 0.259155
1 -2.75111 -2.00932 1.13216
1 -2.4431 -1.09713 1.39347
1 -2.63247 -1.92315 0.864254
1 -3.26881 -2.69461 0.790562
1 -3.99676 -3.2621 1.1783
1 -3.82886 -2.4068 0.690105
1 -3.37473 -1.61227 0.26572
1 -2.86546 -0.769 0.376989
1 -2.85204 0.226244 0.379978
1 -2.27405 -0.0921843 -0.366678
1 -2.84248 0.0209006 -1.18488
1 -2.99081 0.467619 -0.300696
1 -3.81844 1.0177 -0.297764
1 -3.10739 1.09632 0.406478
1 -3.5848 0.428534 0.972129
1 -4.458 0.764631 0.634617
1 -4.66682 -0.156264 0.318966
1 -3.70223 0.049733 0.146411
1 -3.78376 0.279447 1.10673
1 -3.58322 0.799333 1.9411
1 -3.13887 0.080646 2.4741
1 -2.21575 0.0936404 2.09686
1 -1.29821 0.155246 2.50162
1 -0.905435 0.502571 1.64483
1 -1.89025 0.314601 1.63221
1 -2.36653 -0.214257 2.34568
1 -1.79711 0.602514 2.4583
1 -1.14328 0.61097 1.69835
1 -0.624521 -0.194457 1.41587
1 -1.43336 -0.516517 1.91042
1 -1.86635 -0.156638 1.08843
1 -1.15152 0.140367 0.457522
1 -1.94645 0.0996704 -0.136724
1 -1.05399 -0.243745 -0.433905
1 -1.69751 0.510995 -0.415234
1 -2.23097 0.438324 -1.26649
1 -2.54403 1.26566 -0.786119
1 -3.23595 1.51269 -0.107286
1 -3.00977 1.19512 0.811175
1 -2.10172 0.813329 0.643462
1 -1.88312 1.40368 -0.126528
1 -2.45566 2.2064 -0.322337
1 -1.91674 2.07375 -1.14845
1 -1.32794 1.44211 -1.65667
1 -1.74133 1.12948 -0.799262
1 -0.870651 1.31082 -0.356374
1 -0.0077005 0.845292 -0.552598
