100
Atoms. Timestep: 1648400000
1 0.0102281 0.00503464 -0.053303
1 0.789793 0.620152 0.0726968
1 0.445704 1.48573 -0.288737
1 -0.336812 1.90037 0.172134
1 0.172795 1.08728 -0.116572
1 0.408743 1.08012 0.859487
1 0.426792 1.38056 1.81102
1 0.0372752 1.88963 2.58304
1 0.966416 1.62071 2.83401
1 1.90043 1.73765 2.51277
1 1.888 0.73921 2.59069
1 2.32084 -0.162275 2.53464
1 2.47431 -0.438756 3.48068
1 2.63972 -0.84288 2.58457
1 3.31577 -0.173189 2.90704
1 3.09422 0.4593 2.17455
1 2.31672 1.07853 2.25861
1 2.23154 1.97181 1.80277
1 1.63767 2.66266 2.21439
1 1.50104 1.75504 1.82087
1 2.36793 2.05713 1.42744
1 1.43092 2.39531 1.43364
1 1.31783 1.83283 0.618181
1 1.93662 2.55286 0.947192
1 2.087 3.13642 0.149521
1 1.58436 2.33345 -0.155357
1 0.965745 2.75235 0.51602
1 0.17912 3.2884 0.825282
1 0.10576 2.33634 1.1121
1 -0.82429 1.97235 1.04559
1 -0.540057 1.8434 2.00123
1 0.381168 2.24228 2.05491
1 0.761379 2.81394 2.78456
1 0.469254 3.41624 2.04232
1 1.176 2.87175 2.50176
1 1.43914 2.8043 3.4631
1 0.883323 3.46206 2.94562
1 0.256609 2.73451 3.24298
1 -0.530994 2.74317 3.86226
1 -1.23753 2.24036 4.37052
1 -1.83305 2.1548 5.17084
1 -2.07239 2.43593 6.10442
1 -2.97277 2.26907 6.51435
1 -3.40545 2.66185 5.70917
1 -3.82694 2.85596 4.82217
1 -3.43216 2.3547 5.5964
1 -2.71083 2.87301 5.1365
1 -2.15266 2.12545 5.48302
1 -2.08678 1.12432 5.44903
1 -1.82672 0.432701 4.77298
1 -2.41671 1.03731 5.29406
1 -3.23803 1.00056 5.84958
1 -3.55857 0.792089 4.92049
1 -4.45114 0.659657 5.35429
1 -4.7522 1.36001 5.99924
1 -5.26394 0.50857 6.03351
1 -5.09743 -0.366362 5.58176
1 -5.09445 0.254827 6.37016
1 -4.27388 0.831707 6.34285
1 -3.83698 0.7788 7.24136
1 -4.44934 1.04603 6.49378
1 -5.34341 1.35371 6.16372
1 -5.81142 2.14026 6.55904
1 -5.49246 1.53992 5.8229
1 -5.70568 2.50483 5.69511
1 -5.67564 2.21134 4.74159
1 -6.61349 2.55861 4.71775
1 -7.28676 2.34008 4.01363
1 -7.52462 1.48969 3.54893
1 -8.2686 1.75383 2.9445
1 -7.51774 1.6483 2.29409
1 -7.30902 1.936 1.35975
1 -7.58379 1.43127 0.54718
1 -6.85329 2.04762 0.838165
1 -6.40296 1.20187 0.544304
1 -7.36359 1.44937 0.42185
1 -7.01078 1.3841 -0.505772
1 -6.26992 1.75491 0.061443
1 -6.36254 0.758857 0.0200159
1 -6.02195 1.58479 -0.436134
1 -5.39442 1.96659 0.237431
1 -4.99036 2.83777 -0.0165634
1 -4.3951 3.28122 0.651907
1 -3.74548 3.80064 0.0920666
1 -2.92437 3.35732 -0.274222
1 -2.44934 2.5865 0.15032
1 -2.52689 3.33294 0.808351
1 -1.78953 3.0847 1.43371
1 -1.84715 2.08509 1.47167
1 -1.56726 2.57035 2.30372
1 -2.21108 1.85462 2.01576
1 -2.74624 2.70774 2.02299
1 -1.83741 2.5448 2.41302
1 -1.31918 2.0482 1.71102
1 -2.02512 1.60909 1.14506
1 -1.79679 0.671925 0.870243
1 -0.876699 0.534655 0.515833
1 -1.09678 1.00013 -0.343869
1 -1.03078 0.355868 -1.10776
1 -0.193171 -0.185692 -1.0142
