100
Atoms. Timestep: 1611400000
1 -0.0246571 -0.0148831 0.00128085
1 -0.574263 0.203867 0.806516
1 -0.580251 0.148831 -0.192764
1 -0.56064 -0.075174 -1.16439
1 -1.2666 0.153238 -0.496411
1 -0.420703 -0.374067 -0.561982
1 0.485304 -0.579172 -0.948733
1 1.13308 -1.2798 -1.23027
1 0.622494 -0.831142 -1.96784
1 0.411253 -1.27798 -1.09928
1 -0.388894 -0.735426 -0.846289
1 0.55361 -0.737827 -0.498997
1 -0.366915 -0.561097 -0.169137
1 -0.991486 -1.25046 0.205206
1 -0.541813 -1.85022 0.882238
1 0.310259 -1.85215 0.360775
1 0.248555 -2.53035 1.08639
1 -0.0945971 -1.65722 1.43672
1 -0.0497493 -2.59863 1.08525
1 -0.642274 -2.72754 1.88863
1 -0.555488 -3.45088 1.20473
1 -1.0968 -3.69485 2.01281
1 -1.71046 -2.92755 2.21926
1 -1.87641 -2.10262 1.68586
1 -0.963859 -1.75127 1.91567
1 -1.66534 -2.42631 2.16771
1 -1.88374 -1.58953 2.65844
1 -2.23439 -1.7502 3.57986
1 -2.17342 -2.07687 4.51895
1 -1.85623 -2.17376 5.46952
1 -0.879148 -2.12769 5.25623
1 -0.674672 -2.8318 4.57387
1 -0.353525 -3.60153 4.01868
1 -0.328718 -3.99882 3.09766
1 0.512644 -3.44927 2.98972
1 -0.3862 -3.73429 3.32514
1 -0.0395284 -3.9587 2.41741
1 0.108561 -4.03687 1.43532
1 -0.83923 -3.70539 1.3217
1 -0.416515 -2.87488 0.980532
1 -0.0597795 -3.64412 0.445769
1 0.575583 -3.94361 1.15707
1 -0.06276 -4.63173 1.49368
1 0.798544 -4.48149 1.00136
1 0.326483 -3.69453 0.611386
1 0.853124 -2.89761 0.912392
1 -0.0916633 -3.121 0.642517
1 -0.569534 -2.37097 0.189945
1 -1.42491 -2.10289 -0.270163
1 -2.21867 -2.31598 -0.834363
1 -1.73606 -3.1576 -0.586447
1 -0.891797 -3.6944 -0.515068
1 -0.181296 -4.14118 -1.05733
1 0.491813 -3.42951 -0.872146
1 0.988778 -2.67111 -1.30114
1 1.8825 -2.22931 -1.21977
1 1.46374 -1.58123 -0.58512
1 1.31967 -2.52205 -0.257419
1 1.04266 -1.5667 -0.201106
1 1.68655 -0.848441 -0.493643
1 2.65068 -0.744144 -0.736838
1 2.59451 -0.701914 -1.73627
1 2.69585 -0.553785 -0.749948
1 2.25538 -0.790634 -1.61246
1 2.63426 -0.0587489 -1.04313
1 3.48868 -0.542741 -0.871071
1 3.32116 -0.941718 -1.77527
1 3.96509 -0.435515 -1.20043
1 4.19611 -0.0740836 -2.10282
1 3.87339 -0.871195 -1.58583
1 3.75496 -0.197687 -0.847346
1 3.77629 0.797585 -0.852672
1 3.27552 -0.0387125 -1.08346
1 2.43412 0.112917 -0.570828
1 2.17565 1.0786 -0.476846
1 2.30281 0.857137 0.494317
1 3.27582 0.712321 0.318357
1 2.50607 1.28097 -0.0162488
1 2.45102 0.793057 -0.89356
1 3.40505 0.872294 -0.592301
1 3.63849 -0.0545887 -0.308159
1 3.47683 0.509176 -1.1213
1 4.20065 0.756032 -1.77948
1 3.43612 0.624134 -2.40835
1 2.68988 1.16453 -2.02496
1 2.20533 0.450279 -1.51678
1 1.41169 0.166902 -2.05055
1 1.66577 0.148244 -3.0195
1 1.08489 -0.670476 -3.098
1 0.264285 -0.198441 -2.76594
1 0.527126 0.740797 -2.54749
1 0.0719606 0.606423 -1.65988
1 -0.475944 -0.174191 -1.35264
1 -0.227207 -1.11761 -1.56655
1 -0.979861 -0.634464 -1.10195
1 -0.367213 -0.215234 -0.434547
1 -1.28089 0.0697326 -0.726256
1 -0.500838 0.702051 -0.633269
1 0.0900118 -0.0267328 -0.303521
1 -0.172845 0.933306 -0.304517
