100
Atoms. Timestep: 1881800000
1 0.00209018 0.0340493 0.0111135
1 -0.507359 -0.197605 0.842161
1 -0.111836 0.686851 1.09456
1 -0.596724 1.51408 0.806496
1 -1.56718 1.72148 0.664141
1 -1.94878 2.24974 -0.104462
1 -1.55106 3.10679 0.226436
1 -0.744707 3.69355 0.155734
1 -1.10591 4.51247 -0.293931
1 -1.13265 5.49886 -0.184798
1 -0.457008 5.82183 -0.841808
1 -0.268778 4.85534 -0.638403
1 -0.839218 4.20684 -1.14316
1 -0.939485 4.47711 -2.10685
1 0.0291406 4.36472 -1.90302
1 0.528118 5.23294 -1.96575
1 0.421121 4.25549 -2.1742
1 0.616305 3.32338 -1.86542
1 1.46092 3.41642 -1.33129
1 1.85349 2.70405 -1.90987
1 1.24359 2.8496 -2.69105
1 0.973073 3.71414 -3.11887
1 0.548968 4.58088 -3.38544
1 0.252088 4.94263 -4.28187
1 -0.722343 5.16276 -4.26776
1 -0.230496 5.26129 -5.13838
1 -0.491605 6.00905 -4.52467
1 0.212468 6.60255 -4.91763
1 0.376088 5.72873 -5.374
1 0.0704698 4.79735 -5.1735
1 0.355625 3.86024 -4.92
1 0.49653 3.25709 -4.13923
1 -0.0361772 2.59253 -3.61862
1 0.246756 2.99161 -2.74922
1 0.94184 2.30997 -2.99685
1 0.43367 1.57998 -3.45786
1 -0.522737 1.85243 -3.49578
1 -1.25545 1.31154 -3.08908
1 -2.21665 1.04505 -3.1517
1 -1.57335 0.735283 -2.44536
1 -0.837172 1.39259 -2.56187
1 -0.0746086 1.63597 -3.1635
1 -0.138074 2.31054 -3.90713
1 0.445078 1.52284 -3.69334
1 -0.45162 1.67961 -4.10742
1 -0.226142 1.79538 -3.13652
1 0.225105 0.92248 -2.95521
1 0.0657695 0.0436282 -2.50862
1 -0.703625 -0.528454 -2.78062
1 -0.143227 -1.29267 -3.11071
1 0.405266 -0.577949 -3.5364
1 -0.09189 -1.33919 -3.12789
1 -0.643206 -0.669687 -3.62332
1 -0.84041 0.118505 -4.20436
1 -1.73738 -0.180316 -3.87764
1 -1.48221 -1.12211 -3.63101
1 -2.40787 -1.21334 -3.26938
1 -1.51474 -1.62133 -3.44248
1 -1.79528 -2.58044 -3.32885
1 -1.79158 -1.84033 -2.66041
1 -2.44798 -1.63879 -1.94136
1 -2.23078 -0.687357 -2.12528
1 -1.2867 -0.404735 -2.27295
1 -1.88537 -0.188001 -1.50774
1 -2.24677 -1.03231 -1.13123
1 -2.13108 -0.760369 -2.08621
1 -2.65297 -0.446081 -1.299
1 -3.42979 -0.90259 -1.72765
1 -3.12648 -1.48939 -0.977744
1 -2.20902 -1.82702 -0.797965
1 -2.18575 -1.08167 -0.137854
1 -2.32105 -2.0497 -0.382986
1 -2.23098 -2.40285 -1.31345
1 -2.0235 -2.03946 -0.404855
1 -2.52773 -2.34786 0.399438
1 -1.84521 -1.85978 -0.150355
1 -1.85435 -2.58218 -0.844507
1 -0.997938 -2.41424 -0.36783
1 -0.124734 -1.93921 -0.354043
1 0.619144 -1.26523 -0.372765
1 1.16601 -2.0174 -0.733649
1 0.307145 -1.67492 -1.12951
1 0.0491766 -2.14582 -1.97132
1 -0.522937 -1.84332 -2.72729
1 -0.991142 -2.57925 -3.21047
1 -1.14581 -1.66311 -2.85665
1 -1.78132 -1.11091 -2.30859
1 -0.95901 -0.96334 -1.75604
1 -0.506841 -0.207237 -1.28333
1 -1.00246 -0.971524 -0.86552
1 -0.0784799 -0.953884 -0.486873
1 -0.135706 -0.115636 -1.02246
1 0.393389 -0.917241 -0.744136
1 0.496033 -1.49931 -1.55019
1 0.313018 -1.2216 -0.602356
1 1.20587 -0.771351 -0.520996
1 0.701358 -0.770944 0.346008
1 0.610267 -1.20918 1.2382
1 1.4879 -0.935375 0.836311
1 0.656569 -0.433024 0.607048
