100
Atoms. Timestep: 1953000000
1 -0.0133982 -0.0096752 -0.000257005
1 0.109641 0.27876 0.954633
1 0.749217 -0.335758 0.478491
1 1.73339 -0.274461 0.687845
1 1.96416 0.210288 1.53403
1 2.94579 0.357137 1.39099
1 3.31584 0.454291 0.473929
1 3.82034 1.29404 0.631982
1 4.00421 1.43513 -0.332982
1 3.99988 2.41055 -0.108577
1 3.40049 1.78075 0.390638
1 2.80189 1.0761 0.763453
1 2.96138 0.0958808 0.663467
1 3.87843 0.453072 0.505797
1 3.74491 1.357 0.915243
1 3.42796 2.27004 1.16548
1 2.72879 1.66814 1.55323
1 2.79894 0.680824 1.71404
1 3.60808 0.124824 1.93242
1 3.79032 0.939464 1.38109
1 4.40832 1.72891 1.33962
1 4.9238 1.538 0.504717
1 5.72499 1.86306 -0.00184669
1 5.02119 1.23854 0.351268
1 4.49366 0.389142 0.278956
1 5.46012 0.132234 0.227279
1 4.98763 0.528258 1.01317
1 4.25013 0.649183 0.341707
1 4.29157 1.58055 -0.0290035
1 4.41246 0.964638 0.759101
1 4.65018 -0.00424929 0.695121
1 4.65481 -0.741437 0.0193239
1 5.39872 -1.01613 0.626724
1 5.54687 -1.53136 1.47051
1 5.96423 -2.41291 1.23408
1 6.12951 -1.67036 1.87979
1 5.60966 -1.50508 2.7157
1 5.92509 -2.04078 1.92786
1 6.54715 -1.3783 1.52266
1 6.65316 -1.12749 2.48553
1 6.25978 -0.444635 3.10454
1 6.12551 0.490118 2.77684
1 6.123 -0.0864405 3.59252
1 5.31253 0.499806 3.59867
1 4.49658 0.0109719 3.92308
1 5.48973 -0.0807429 3.9476
1 4.59891 -0.310871 4.33136
1 3.84937 -0.763816 3.85477
1 3.89842 -1.5599 4.46428
1 3.27419 -0.843353 4.78822
1 3.62417 -1.75847 4.56932
1 2.79325 -2.29402 4.70318
1 3.6994 -1.93688 4.45303
1 3.50614 -1.00404 4.75696
1 2.89475 -1.76331 4.98383
1 3.59542 -1.57259 4.30189
1 3.35052 -0.58906 4.28367
1 4.26913 -0.404407 4.63189
1 4.93272 -1.06974 4.29706
1 5.56795 -1.40232 3.59257
1 6.02014 -2.22947 3.25965
1 6.14984 -2.08029 4.23929
1 5.29481 -2.38042 4.66071
1 5.34196 -3.13244 5.31539
1 5.44371 -2.215 4.93382
1 6.14131 -1.53119 4.70674
1 5.81026 -2.40481 5.05983
1 5.88155 -3.37795 5.25049
1 6.12651 -3.91588 6.05495
1 5.66829 -3.07313 6.33867
1 5.44557 -2.67422 5.44877
1 4.95935 -2.93044 6.29036
1 4.47329 -3.73392 5.95636
1 4.73275 -3.17014 5.17396
1 3.9502 -2.905 4.61885
1 3.45294 -2.49204 3.8662
1 2.70837 -2.99699 3.41871
1 2.53887 -2.18936 2.85835
1 1.82359 -2.05714 3.55073
1 1.2354 -1.4275 4.06354
1 0.996505 -2.39565 4.1954
1 0.704061 -1.80867 3.44046
1 0.639602 -1.6209 4.42667
1 0.532284 -1.57022 3.43798
1 0.415648 -2.56495 3.43165
1 0.0942239 -1.80533 2.86701
1 0.448824 -2.39948 2.15584
1 0.396905 -2.17376 1.18245
1 0.815802 -2.8328 0.556095
1 -0.0250392 -2.31935 0.722753
1 0.735215 -2.47624 0.0885301
1 1.36294 -1.69401 0.142529
1 0.58637 -1.53593 -0.464094
1 0.484779 -2.49966 -0.713008
1 0.970918 -1.67416 -0.985629
1 0.988659 -0.841137 -1.53734
1 0.401957 -1.2991 -0.874547
1 0.703132 -0.352694 -0.960411
1 1.33403 0.285851 -0.517339
1 0.481122 -0.0821254 -0.863689
