100
Atoms. Timestep: 1581900000
1 -0.00202901 0.0600851 0.0257624
1 0.392061 -0.715612 -0.465789
1 1.24445 -1.2392 -0.452877
1 2.16985 -1.01595 -0.760517
1 2.47785 -1.29644 0.142349
1 2.68853 -1.26317 -0.831166
1 3.54464 -1.77583 -0.722303
1 4.23972 -1.09306 -0.480053
1 5.2347 -1.14636 -0.405981
1 6.14351 -1.37746 -0.748983
1 7.06602 -1.21922 -0.387568
1 7.90579 -0.840563 -0.770374
1 8.75429 -0.892274 -0.246447
1 9.56874 -1.33758 0.145677
1 10.4731 -1.56505 0.494414
1 11.3735 -1.90382 0.20453
1 12.2001 -2.31478 -0.1896
1 12.773 -2.64995 -0.939529
1 13.4539 -2.38929 -1.62938
1 14.0983 -2.83355 -2.25264
1 15.0025 -2.42147 -2.17832
1 15.9603 -2.26942 -1.94522
1 16.8713 -2.16196 -2.34748
1 17.5232 -1.79144 -3.00903
1 18.498 -1.58719 -3.12756
1 19.3972 -1.1511 -3.13903
1 19.425 -0.158592 -3.232
1 19.5489 -0.780108 -2.45562
1 18.8415 -1.23395 -3.01115
1 19.743 -1.64432 -2.92112
1 20.3608 -0.86469 -3.02974
1 20.8634 -0.0292094 -2.79039
1 21.2213 0.863258 -3.09685
1 21.9051 1.42729 -3.56586
1 22.8738 1.50618 -3.78687
1 22.6816 2.48821 -3.79548
1 23.3773 2.7321 -3.11758
1 23.2648 2.8525 -2.13605
1 23.4672 1.87583 -2.04084
1 24.3701 2.09612 -2.42209
1 23.7987 1.31342 -2.65562
1 24.7751 1.23413 -2.86807
1 24.4079 1.99686 -2.33702
1 23.4645 2.09099 -2.00521
1 24.0744 2.84227 -1.72421
1 25.0222 2.53723 -1.66932
1 25.1901 2.1846 -2.58345
1 25.1368 2.64496 -1.69991
1 24.7867 1.80726 -1.27326
1 24.3798 1.14207 -0.633645
1 24.9683 0.328821 -0.660088
1 25.7702 -0.257624 -0.531507
1 25.6874 0.219046 -1.39711
1 26.0318 0.588957 -0.533904
1 25.2682 0.118207 -0.0884543
1 25.7434 -0.276684 0.689042
1 24.9917 -0.767572 0.251351
1 25.7257 -1.14004 0.816019
1 25.1952 -0.804882 1.59262
1 24.3805 -0.960886 2.15262
1 25.0298 -0.363189 2.62476
1 25.4295 0.490728 2.26314
1 25.8384 1.13551 1.61388
1 25.9686 0.399827 2.27586
1 25.0125 0.649199 2.13409
1 24.112 0.214973 2.10058
1 23.196 -0.143784 2.27499
1 22.195 -0.172345 2.26455
1 22.1327 -1.16793 2.20482
1 21.1697 -0.9154 2.33009
1 21.2241 -0.798182 1.33442
1 20.234 -0.906305 1.22081
1 20.2961 -1.48593 0.408625
1 19.467 -1.29464 0.933257
1 19.1743 -0.409811 1.29131
1 18.8457 -1.16271 1.85199
1 17.9537 -0.918522 1.45707
1 17.2412 -0.230643 1.31672
1 16.3148 0.136913 1.40316
1 15.3814 -0.128597 1.62142
1 14.5813 -0.490128 2.09388
1 13.5936 -0.373173 1.98754
1 12.6532 -0.610807 2.22926
1 12.3058 -0.606116 3.16868
1 11.5238 -1.01986 2.69281
1 10.8288 -0.444788 3.12693
1 10.5832 -0.60255 2.17261
1 10.0207 -0.651058 2.99669
1 9.42072 -1.39536 2.69145
1 8.57318 -0.852576 2.66442
1 7.6267 -0.795706 2.34281
1 7.15377 -1.25252 1.58441
1 6.52245 -0.671505 1.05964
1 5.59512 -0.832284 0.722161
1 5.09761 -0.78325 -0.137013
1 4.21705 -0.680654 0.330167
1 3.33494 -0.26402 0.108382
1 2.40364 -0.606851 -0.0272103
1 1.80415 0.104133 -0.397052
1 0.895954 0.453695 -0.165434
