100
Atoms. Timestep: 326200000
1 0.0295274 -0.000386454 0.0649501
1 1.02614 -0.0450917 -0.00232764
1 1.98139 -0.347545 -0.0502919
1 2.93011 -0.247129 0.275395
1 3.74165 -0.804006 0.439997
1 4.61249 -1.26066 0.282831
1 5.59245 -1.08143 0.180053
1 6.29194 -0.369506 0.0990076
1 7.0394 0.0503716 0.614883
1 7.6203 -0.756673 0.517927
1 8.2084 -1.29443 -0.0823016
1 8.86639 -1.03967 -0.788454
1 9.68191 -1.61806 -0.828193
1 10.679 -1.5589 -0.770252
1 11.6781 -1.61356 -0.736014
1 12.0687 -1.34185 -1.61636
1 12.9432 -1.81262 -1.46397
1 13.898 -1.51701 -1.56039
1 14.8928 -1.56843 -1.49446
1 15.8837 -1.65681 -1.59019
1 16.2535 -0.964791 -2.21664
1 16.6377 -0.753964 -1.30938
1 17.5124 -0.574542 -1.76927
1 18.5044 -0.476219 -1.73856
1 19.232 0.149717 -1.46029
1 20.0756 0.674609 -1.54073
1 20.1603 -0.302453 -1.74866
1 21.1281 -0.13533 -1.95818
1 21.8335 -0.245054 -1.25587
1 22.6291 -0.106166 -0.66613
1 23.5811 0.149979 -0.784439
1 24.1925 0.345624 -0.0178343
1 23.8937 1.28628 0.135943
1 24.8732 1.41072 0.354723
1 24.9109 0.421586 0.508115
1 25.4517 0.501149 1.349
1 25.2218 1.45841 1.1985
1 25.2559 1.44714 2.19474
1 25.9053 1.09017 2.87756
1 26.3048 0.553449 3.62509
1 27.0411 0.123275 4.15699
1 27.6593 -0.658821 4.21089
1 28.4244 -0.0586012 4.46396
1 29.0721 -0.469862 3.83223
1 28.4053 -0.419221 4.57207
1 28.6424 -0.774338 5.47675
1 29.5173 -0.509792 5.08021
1 28.5281 -0.528817 4.99033
1 27.7519 -0.983901 4.54975
1 27.8671 -0.914431 3.56254
1 28.8588 -1.05919 3.6468
1 28.9486 -0.0610183 3.64928
1 28.0049 0.186656 3.44131
1 27.8195 -0.210777 2.54071
1 27.4299 0.658066 2.25056
1 27.9276 0.936677 1.42737
1 27.4827 0.0512637 1.41313
1 27.4179 -0.430671 0.539965
1 28.0885 0.295142 0.427925
1 28.6952 -0.499196 0.419062
1 28.0865 -1.29092 0.5097
1 27.366 -1.14829 1.19227
1 27.2052 -0.792033 0.270746
1 26.4476 -0.143388 0.382162
1 26.7265 0.780446 0.626125
1 25.8205 1.2163 0.655442
1 25.1207 1.35823 -0.0400999
1 24.1349 1.39359 -0.248268
1 23.9857 0.456366 -0.561265
1 23.0787 0.853863 -0.445017
1 22.7853 0.727422 -1.39618
1 22.0025 1.2992 -1.65467
1 21.2171 0.851929 -1.22762
1 20.2331 1.02361 -1.27907
1 19.2613 1.20458 -1.40889
1 18.444 0.727558 -1.74371
1 17.9532 1.1306 -2.52223
1 17.0459 1.12036 -2.09249
1 16.068 0.950885 -2.16732
1 15.0998 0.695618 -2.16621
1 14.3406 1.27096 -1.8863
1 13.5449 0.655414 -1.9512
1 13.297 1.62051 -1.87739
1 12.5572 1.15688 -2.36015
1 12.4616 1.24836 -1.36771
1 12.5047 0.339792 -1.7864
1 11.6045 0.357832 -2.22137
1 10.699 0.00230511 -1.97661
1 10.309 0.805081 -2.42173
1 9.35846 1.11675 -2.38909
1 8.57925 0.689231 -1.93155
1 7.71269 0.689412 -1.43042
1 6.72086 0.854335 -1.40444
1 5.77295 0.582877 -1.57163
1 5.00499 0.698822 -0.927753
1 4.04602 0.426594 -0.996054
1 3.08499 0.620052 -0.796035
1 2.35016 -0.0555968 -0.789613
1 1.4715 0.375852 -0.576558
1 1.02581 -0.014633 0.215014
