100
Atoms. Timestep: 147800000
1 -0.00496301 0.0136879 -0.0574399
1 0.723422 -0.662715 -0.204268
1 1.59287 -0.864693 -0.652067
1 2.50258 -0.467056 -0.766114
1 3.09873 -1.12917 -1.21561
1 3.28802 -1.99333 -1.67228
1 4.19514 -1.68982 -1.38017
1 4.9603 -2.28043 -1.64672
1 5.34689 -2.20949 -0.726313
1 6.33167 -2.36636 -0.758845
1 7.18408 -2.60785 -1.22589
1 8.12266 -2.27729 -1.40864
1 9.023 -2.693 -1.29305
1 9.79668 -2.84168 -0.677713
1 10.7044 -2.43228 -0.78618
1 11.6934 -2.35082 -0.6795
1 12.6606 -2.26544 -0.911061
1 13.5392 -1.91509 -0.565942
1 14.3043 -1.98521 0.0763087
1 14.9511 -1.28794 -0.237137
1 15.7213 -1.91337 -0.117451
1 16.7243 -1.88653 -0.0582215
1 17.4855 -2.42442 -0.419595
1 18.2146 -2.80812 0.145315
1 19.1826 -2.5737 0.263428
1 20.0771 -2.13314 0.260969
1 20.8473 -1.80972 0.815344
1 21.2299 -2.6908 1.10014
1 22.2205 -2.86479 1.06136
1 23.0929 -2.97009 0.584073
1 24.0918 -3.00506 0.554223
1 24.2608 -2.35299 -0.191858
1 24.2457 -2.84121 -1.06365
1 25.0228 -3.03512 -0.463067
1 25.4892 -3.87674 -0.755094
1 26.098 -3.68283 -1.53073
1 27.0968 -3.61361 -1.48201
1 27.2768 -2.80566 -2.03607
1 27.4247 -2.30273 -2.89352
1 27.1924 -2.40687 -3.85935
1 26.4099 -2.42791 -4.48286
1 26.0796 -1.55552 -4.85962
1 25.9227 -1.03205 -5.69892
1 26.8857 -1.07053 -5.9694
1 27.0115 -0.922403 -6.94667
1 26.7099 -0.0873166 -7.40102
1 25.7315 -0.178265 -7.5564
1 25.9318 0.270054 -6.68413
1 26.6499 -0.425665 -6.59493
1 27.2851 -1.11384 -6.24851
1 27.6103 -2.04576 -6.4229
1 27.4728 -1.28645 -7.05824
1 26.4691 -1.28098 -7.02638
1 26.4297 -0.398181 -7.48935
1 26.582 0.371841 -6.87306
1 25.7456 0.774816 -6.50954
1 25.2351 1.17912 -7.27065
1 25.3005 2.04009 -6.75085
1 25.6397 2.25758 -5.82489
1 24.6461 2.37555 -5.92882
1 24.1714 2.48321 -6.8055
1 23.5617 3.20553 -7.13132
1 22.8819 2.54271 -6.81203
1 23.0336 3.34578 -6.22862
1 22.1772 3.84406 -6.08929
1 21.3981 3.22691 -6.19242
1 20.4997 2.8723 -6.46048
1 19.8916 3.66588 -6.40811
1 20.0249 2.87523 -6.98761
1 19.4922 2.28651 -6.3786
1 19.9235 2.30109 -5.47889
1 19.9219 1.41772 -5.95242
1 19.2941 2.16518 -6.17221
1 19.222 2.01549 -5.18626
1 18.6592 1.25685 -4.88086
1 17.6706 1.1481 -4.77307
1 17.0095 1.79291 -4.38457
1 16.1636 2.037 -3.90461
1 16.3468 2.90609 -3.4222
1 15.4882 2.8248 -2.91379
1 15.0705 2.23506 -2.22224
1 14.0917 2.111 -2.04594
1 13.2132 1.74887 -1.71613
1 12.3995 2.16477 -1.30859
1 12.035 1.28381 -1.59143
1 11.5881 0.677594 -0.933956
1 10.9942 0.617405 -0.132813
1 10.4772 -0.0810734 -0.619466
1 9.75487 -0.637097 -0.215906
1 8.91707 -0.254056 0.165259
1 7.9404 -0.0708117 0.317955
1 7.19541 -0.724458 0.44707
1 6.42487 -1.05155 1.00177
1 5.45844 -1.09069 0.744353
1 4.75046 -0.629211 0.208161
1 3.90967 -0.490165 0.734935
1 3.17341 -1.17502 0.727139
1 2.64133 -0.864533 -0.059804
1 1.65812 -0.719361 0.0382033
1 0.684792 -0.694513 -0.175896
