100
Atoms. Timestep: 1347500000
1 0.0160818 -0.00563124 -0.037809
1 0.772623 0.64868 -0.0290871
1 1.7254 0.385599 0.106422
1 1.92864 0.512647 -0.866488
1 2.87335 0.831784 -0.907459
1 3.36315 1.06741 -1.74355
1 4.31259 1.35949 -1.84355
1 5.28942 1.16392 -1.70603
1 6.2415 0.864075 -1.68476
1 7.13365 0.968219 -1.24597
1 7.78958 1.39825 -0.617986
1 8.65659 1.83578 -0.40646
1 9.57823 1.87716 -0.780097
1 9.90305 2.81121 -0.91993
1 10.8146 2.74792 -1.32488
1 11.177 3.30764 -2.07544
1 10.6995 2.50187 -1.72864
1 11.554 2.8438 -1.33325
1 12.4861 3.15081 -1.53306
1 13.1393 3.80941 -1.155
1 14.0156 4.00414 -0.726599
1 14.8887 4.17531 -0.263703
1 15.7877 4.44481 -0.590926
1 16.6784 4.89003 -0.465631
1 17.5526 4.42564 -0.634511
1 18.4353 4.17064 -0.240099
1 18.3651 3.93608 -1.21334
1 19.2413 3.48115 -1.33262
1 19.9836 3.08034 -1.86181
1 20.3821 3.73913 -1.22227
1 21.2581 3.30669 -1.42931
1 22.0948 2.88849 -1.80135
1 22.501 3.40155 -2.56068
1 23.4531 3.21844 -2.32533
1 22.6337 2.64923 -2.24029
1 23.0952 2.85073 -3.10341
1 23.5759 3.27814 -2.34202
1 23.9157 3.02913 -3.24896
1 24.3409 3.92891 -3.14529
1 25.037 4.59946 -3.40905
1 25.0178 5.59564 -3.45722
1 25.1296 4.6667 -3.10156
1 25.2677 4.5452 -2.11434
1 25.4687 3.58945 -1.92232
1 24.9889 4.09014 -2.65072
1 25.9319 3.74012 -2.69144
1 25.6117 3.26398 -1.87637
1 26.1391 2.83791 -2.61362
1 25.8375 2.83866 -1.65982
1 26.352 3.50939 -2.19514
1 26.7127 4.08143 -2.93075
1 27.3377 3.85214 -2.174
1 27.9003 4.65252 -1.96821
1 28.4 4.42284 -2.80316
1 28.5763 3.59186 -2.27304
1 29.3466 3.74809 -2.89049
1 29.2865 3.05523 -2.17236
1 28.2961 2.94898 -2.2813
1 28.2442 1.96259 -2.09469
1 28.4888 2.50174 -1.28623
1 28.3653 2.01385 -0.42315
1 27.6946 2.65738 -0.0530485
1 27.8648 3.2511 -0.839994
1 26.9777 2.87545 -1.09541
1 27.3577 2.20633 -0.463703
1 26.7323 2.74568 -1.02375
1 25.7618 2.85398 -0.788939
1 25.4857 1.89329 -0.751132
1 24.998 1.16099 -0.279656
1 24.2801 1.83126 -0.0772117
1 23.8213 0.93645 -0.113777
1 23.0222 0.803912 0.465542
1 22.8221 0.191521 -0.303549
1 21.9208 0.194412 0.14069
1 20.9729 0.344323 0.416443
1 19.9727 0.316222 0.473162
1 18.9989 0.247866 0.688503
1 18.2961 -0.147002 0.0850242
1 17.5149 -0.107241 -0.534398
1 16.5999 -0.179502 -0.130304
1 15.808 -0.0775867 -0.733293
1 14.8117 -0.164283 -0.63641
1 14.037 0.29019 -0.200647
1 13.3311 0.950421 -0.477819
1 12.5012 1.51176 -0.391173
1 11.7136 1.47807 -0.99992
1 10.8621 1.90565 -0.691495
1 10.1332 2.44151 -0.247548
1 9.25321 2.77378 -0.582913
1 8.82172 3.1664 -1.40404
1 8.0811 2.56163 -1.11047
1 7.16848 2.5781 -1.5118
1 6.32828 2.07142 -1.29966
1 5.39719 1.73096 -1.15566
1 4.82988 1.7252 -1.97858
1 3.90207 1.67436 -1.62412
1 3.45407 1.25339 -0.836876
1 2.48863 1.24333 -0.577183
1 1.69404 0.876375 -0.101085
1 0.711765 0.707433 -0.105161
