100
Atoms. Timestep: 1310700000
1 0.0592626 -0.0138644 -0.0272285
1 0.967689 -0.112377 0.378448
1 1.63414 -0.771291 0.734995
1 2.29415 -0.185579 1.21191
1 3.21447 -0.564247 1.30335
1 3.81661 -1.17868 0.792237
1 4.81069 -1.30513 0.827865
1 5.68179 -0.88445 0.591375
1 6.57113 -0.42727 0.512814
1 7.04705 0.427373 0.693282
1 8.00948 0.550504 0.934744
1 8.98589 0.541468 0.71534
1 9.89332 0.517014 1.12959
1 10.7405 0.740068 0.633545
1 11.6772 1.0763 0.551908
1 12.5326 1.00294 0.0283967
1 13.0279 1.27428 -0.79576
1 13.1287 0.622507 -1.5411
1 13.9483 0.433095 -0.979773
1 14.4203 0.906417 -1.71527
1 15.3289 1.32323 -1.70011
1 16.2017 0.853673 -1.49909
1 17.1664 0.67258 -1.32521
1 18.1596 0.647577 -1.45051
1 18.6671 -0.0240565 -0.906541
1 19.6161 0.325323 -0.961831
1 20.2828 0.89845 -0.476584
1 21.1255 0.411219 -0.28979
1 21.8974 -0.0105431 0.193831
1 22.4728 -0.784165 0.463349
1 23.4346 -0.507019 0.50319
1 24.2172 -0.418385 1.11728
1 24.4739 -0.896669 1.95516
1 25.0356 -1.56508 2.43685
1 25.0706 -0.566178 2.51776
1 25.539 -0.58619 1.63605
1 25.6989 0.240243 2.18374
1 26.2949 1.03924 2.10273
1 26.4018 0.134381 2.5241
1 27.0618 0.163084 1.77232
1 27.955 -0.203809 2.0551
1 27.094 -0.619727 2.36657
1 27.1384 -1.38891 1.72082
1 27.1422 -2.37885 1.55883
1 27.3039 -3.11988 2.21917
1 26.5622 -2.52906 1.92548
1 26.745 -1.84143 1.22403
1 25.9539 -1.79291 1.8307
1 26.3712 -0.92029 2.06915
1 27.0045 -0.628557 1.35761
1 27.8989 -0.195016 1.35714
1 28.4196 0.555268 1.75556
1 29.1862 -0.0706197 1.66235
1 28.295 -0.446783 1.927
1 27.7041 0.148209 2.47042
1 27.1854 -0.655774 2.17259
1 26.5025 -0.891452 1.48791
1 25.9468 -1.20306 0.7168
1 25.6478 -1.79522 -0.0384622
1 24.9656 -1.37361 -0.637893
1 24.7414 -0.405201 -0.516398
1 25.2024 -0.0338483 0.290222
1 25.2608 0.592119 1.06687
1 24.6399 1.10368 0.483236
1 23.8156 1.639 0.659829
1 23.6236 0.77563 0.191691
1 22.728 1.02798 -0.190028
1 23.2082 1.90734 -0.146748
1 22.8348 1.93818 -1.07775
1 22.2595 2.48513 -0.47653
1 21.38 2.00947 -0.541744
1 20.3895 1.83317 -0.567426
1 20.6215 2.2748 -1.43313
1 19.9465 1.71994 -0.938261
1 19.2763 1.8197 -0.209084
1 18.4644 1.94858 0.362883
1 18.2387 1.08077 0.81818
1 17.2532 1.18486 0.669036
1 16.369 1.05927 0.224072
1 16.146 0.340281 0.874617
1 15.2696 0.457968 0.402559
1 14.7857 0.847572 -0.386481
1 14.3328 1.73639 -0.336456
1 13.3505 1.6373 -0.542767
1 12.53 1.75839 -1.10032
1 11.6555 1.2703 -1.16152
1 11.57 0.281186 -1.0642
1 10.8017 0.916374 -1.07756
1 10.3107 1.00938 -1.93618
1 9.40144 1.27274 -1.62615
1 8.48105 1.19581 -1.25776
1 7.49976 1.27643 -1.41703
1 6.93337 0.464541 -1.52437
1 5.95542 0.706371 -1.53204
1 4.98645 0.820986 -1.34738
1 4.03661 0.565282 -1.1423
1 3.06094 0.405351 -0.964332
1 2.05625 0.440362 -1.00259
1 1.07124 0.270118 -1.04646
1 1.05753 0.0421682 -0.0771975
