100
Atoms. Timestep: 57300000
1 -0.0294307 0.0378369 0.0349403
1 0.867361 -0.180215 -0.344526
1 1.69023 0.123908 0.136185
1 2.34273 -0.359772 -0.457811
1 3.23702 -0.531063 -0.875851
1 4.1919 -0.610077 -0.590293
1 5.13241 -0.468529 -0.281951
1 6.13347 -0.491774 -0.295695
1 6.91855 -1.01013 0.0573642
1 7.27426 -0.283296 -0.52374
1 8.14483 -0.0102785 -0.949491
1 8.60872 -0.305953 -1.78486
1 9.53138 0.0772023 -1.8811
1 10.1767 -0.338988 -1.24437
1 10.627 0.362401 -0.682547
1 11.4969 0.410784 -0.199936
1 12.479 0.218931 -0.258053
1 13.1001 -0.57006 -0.245365
1 14.0013 -0.185378 -0.0408793
1 14.7862 0.431335 -0.0434766
1 15.2136 0.714975 -0.902856
1 16.1357 0.670241 -1.27792
1 16.7616 -0.11043 -1.3099
1 17.6775 -0.443366 -1.07202
1 18.378 -0.595178 -1.77778
1 19.0506 -0.796686 -2.49189
1 19.6859 -0.73606 -1.71949
1 20.2826 -0.233158 -1.10588
1 21.0503 -0.191661 -0.462632
1 21.7499 -0.0245017 0.236147
1 21.7026 -1.00947 0.397184
1 22.3522 -1.12057 1.14844
1 23.0127 -1.12738 0.395436
1 23.2046 -1.41707 -0.542958
1 22.9335 -1.20793 -1.48547
1 23.6528 -1.09916 -2.16779
1 23.1363 -1.91565 -1.91129
1 23.9654 -1.41433 -2.17309
1 24.5756 -1.25412 -1.4017
1 24.6378 -0.685982 -2.22894
1 24.5444 -0.966483 -3.18319
1 24.8606 -0.757972 -2.2558
1 25.0377 -1.55581 -2.84484
1 25.9671 -1.19417 -2.96271
1 26.9593 -1.2228 -3.06699
1 26.8742 -1.80654 -2.2606
1 26.1946 -1.97405 -2.97541
1 26.4565 -1.44392 -2.17161
1 27.2518 -0.858402 -2.03833
1 26.7962 -1.43813 -1.36032
1 26.6033 -1.06508 -0.449509
1 26.0677 -0.555179 0.234598
1 25.3947 -1.06762 -0.299792
1 24.5432 -0.575425 -0.42739
1 24.6327 -1.07428 -1.30348
1 24.5205 -1.71233 -2.06485
1 24.9294 -0.950419 -1.55999
1 24.9008 -1.62528 -2.29586
1 24.0364 -2.07963 -2.08022
1 24.4948 -1.49307 -1.40233
1 24.3057 -1.34983 -2.37585
1 24.1479 -1.61382 -3.32738
1 24.5543 -2.42722 -2.91336
1 25.2274 -2.42653 -2.16257
1 24.2468 -2.24941 -2.27773
1 24.3155 -1.29876 -1.97113
1 24.2024 -0.467252 -2.50648
1 23.3408 -0.916055 -2.26783
1 22.3862 -0.801863 -2.01271
1 22.2036 -1.01886 -1.05598
1 21.7531 -1.18833 -1.93302
1 21.051 -0.675746 -1.43591
1 20.943 -0.897788 -2.40707
1 20.3713 -1.53189 -2.92183
1 19.4077 -1.58495 -3.18268
1 19.2505 -0.601675 -3.11493
1 18.3446 -0.738205 -2.70771
1 17.5903 -0.198618 -2.32691
1 16.614 -0.0449207 -2.47723
1 16.1292 0.780927 -2.75308
1 15.4909 0.325051 -3.37162
1 15.4653 1.03845 -2.66972
1 14.6811 1.21983 -2.07101
1 13.741 1.13498 -1.72449
1 13.0157 1.47699 -1.12865
1 12.3932 1.24142 -0.386196
1 11.5393 1.6806 -0.0989074
1 10.5788 1.80691 0.108198
1 9.58176 1.75573 0.00719793
1 8.73635 1.37234 -0.369376
1 8.2521 1.7911 0.400055
1 7.39912 1.41752 0.767779
1 6.49055 1.73408 1.03736
1 5.76716 1.81206 0.343324
1 4.80928 1.5469 0.226358
1 3.96202 1.4175 -0.301378
1 3.00885 1.34128 -0.590833
1 2.17011 0.816587 -0.462747
1 1.56494 0.0669907 -0.178494
1 0.725652 -0.369226 -0.4844
