100
Atoms. Timestep: 1581000000
1 -0.00363267 -0.000297102 0.0216953
1 0.514121 -0.367259 0.799782
1 1.18305 -0.914205 1.31172
1 2.15036 -0.86692 1.07671
1 3.0921 -0.989855 1.38141
1 3.70073 -0.539038 2.02379
1 4.48756 -0.179043 2.5179
1 5.43194 -0.395839 2.74661
1 6.26224 0.0960605 2.48841
1 7.02201 -0.321429 2.98849
1 7.69103 -0.901585 2.52489
1 8.68764 -0.830567 2.43595
1 9.44461 -0.629128 3.05949
1 10.3994 -0.341381 3.00525
1 11.3756 -0.564144 2.90875
1 12.2841 -0.684571 3.30149
1 13.2584 -0.561528 3.14323
1 14.195 -0.834112 3.36902
1 15.1547 -1.09485 3.45609
1 15.8004 -0.531675 2.95151
1 15.7214 -1.52223 3.00705
1 16.7205 -1.598 2.90425
1 17.6514 -1.65894 2.53397
1 18.6204 -1.4241 2.40496
1 19.1218 -1.55378 1.5511
1 19.9875 -1.04766 1.44371
1 20.6307 -0.681067 0.772074
1 20.9415 -0.472164 1.70129
1 21.8766 -0.531474 2.03055
1 22.642 -0.0881798 2.48555
1 23.5798 -0.408786 2.63808
1 23.8555 -0.0297541 3.51739
1 23.5574 0.354987 2.63782
1 23.858 0.691819 3.54031
1 24.7136 0.938642 3.07086
1 25.2538 0.1212 2.88976
1 26.1585 0.000319802 2.49308
1 27.0243 -0.454065 2.68566
1 26.4387 -0.659464 1.89609
1 25.9482 0.188798 2.09852
1 26.4692 -0.657662 2.00664
1 27.3068 -1.09041 2.35189
1 27.4407 -0.238487 2.85297
1 27.4252 0.301185 3.70424
1 28.1409 -0.273518 3.32032
1 29.1405 -0.371701 3.32388
1 29.7745 -0.100645 2.60145
1 28.91 -0.140175 3.08473
1 28.0475 0.261687 2.77562
1 27.802 -0.441675 2.11374
1 28.4781 0.0693012 1.58058
1 29.454 0.280235 1.64326
1 28.7999 -0.371598 2.00925
1 28.5025 -0.320864 2.95563
1 27.5569 -0.0309799 2.82384
1 27.2745 -0.00241042 1.8592
1 26.829 0.093165 0.977477
1 26.9472 1.05111 0.712558
1 26.8872 0.224325 1.27744
1 25.9039 0.417709 1.17267
1 25.5115 -0.479537 1.40039
1 24.6417 -0.29487 0.946792
1 24.2795 -0.792296 0.156279
1 23.5158 -0.633355 -0.471067
1 23.7612 0.307019 -0.725068
1 23.2642 1.11927 -1.02508
1 22.559 1.71764 -0.644603
1 22.8026 2.42134 -1.30978
1 22.6838 2.11782 -2.26079
1 22.5208 3.09136 -2.38498
1 21.7119 2.76157 -1.91443
1 20.8032 3.15751 -1.80565
1 19.806 3.28568 -1.82183
1 19.2783 3.13331 -0.988545
1 18.3329 3.28152 -1.28046
1 17.3746 3.46163 -1.09299
1 16.9026 3.83637 -0.302009
1 15.9057 3.89594 -0.328367
1 15.5168 3.98702 -1.24599
1 16.2864 4.27698 -1.80533
1 15.8521 4.30071 -0.903022
1 14.9737 3.8843 -1.13876
1 14.2258 3.46326 -0.616961
1 13.2321 3.50395 -0.71788
1 12.4811 4.15124 -0.843348
1 11.5403 3.82712 -0.85455
1 10.718 3.90969 -0.289313
1 9.89759 3.4041 -0.561411
1 9.05366 3.11602 -0.997987
1 8.16214 2.73868 -0.732285
1 7.19611 2.46151 -0.705007
1 6.27814 2.65871 -0.351593
1 6.33808 1.68878 -0.128772
1 5.5087 2.10838 -0.510522
1 4.59457 2.10189 -0.103108
1 3.83115 1.46048 -0.0123895
1 2.91302 1.68455 0.325342
1 2.30241 0.899105 0.26296
1 1.88842 0.0870101 -0.139726
1 0.964054 -0.235468 0.0639492
