100
Atoms. Timestep: 1146900000
1 0.0468982 -0.0330228 -0.0217357
1 1.03145 -0.209086 -0.0720014
1 1.5717 0.318114 0.577634
1 1.99318 1.14304 0.962221
1 2.85189 0.715263 0.680761
1 3.84117 0.600877 0.59352
1 4.60938 0.910668 1.14518
1 5.41971 0.539779 0.678307
1 5.77566 0.767038 -0.231038
1 6.26014 -0.0932573 -0.381747
1 7.00255 -0.56394 -0.851231
1 7.75387 -0.301762 -0.237023
1 8.51703 -0.883006 -0.541202
1 9.34533 -0.330675 -0.518377
1 10.1249 -0.384165 0.111146
1 11.1092 -0.284931 0.195702
1 11.881 -0.806563 -0.175893
1 12.7387 -0.730226 -0.686965
1 13.6605 -0.965694 -0.387761
1 14.5248 -1.16759 0.0529718
1 15.3494 -0.59951 0.00693458
1 16.336 -0.551921 0.190424
1 16.91 -1.02112 0.860328
1 17.315 -0.975373 -0.05308
1 18.0754 -0.389739 -0.341089
1 18.9456 -0.814367 -0.0682248
1 19.4616 -0.955396 0.770896
1 20.3027 -0.491993 1.04741
1 20.7648 -1.19987 1.57416
1 21.659 -1.65486 1.54854
1 22.4098 -1.54815 0.892575
1 23.1427 -2.2262 0.810782
1 23.6164 -3.05275 1.10627
1 24.3046 -2.66165 1.72004
1 24.8761 -3.37422 1.31464
1 25.6536 -2.85917 1.67297
1 26.1875 -3.38779 2.33363
1 26.5855 -2.62006 1.83301
1 26.5785 -2.60192 2.83115
1 26.7931 -1.64542 3.01571
1 26.8839 -1.85623 3.98772
1 27.5207 -1.83788 3.21503
1 28.3947 -1.99438 3.68395
1 28.6057 -1.12378 4.11091
1 27.8254 -1.71534 3.88725
1 26.895 -2.06385 3.9706
1 26.9362 -3.01008 3.61746
1 27.6614 -2.33861 3.44873
1 27.7819 -1.3555 3.32642
1 27.5592 -0.686232 4.03936
1 28.1384 -1.26765 3.46959
1 28.205 -1.52769 2.50237
1 29.0143 -0.970996 2.29397
1 29.3726 -1.24792 1.39538
1 29.1151 -1.3716 2.35621
1 28.1188 -1.44368 2.39039
1 27.2596 -1.7403 1.96193
1 26.4497 -2.27606 2.21052
1 26.8596 -1.99461 3.07024
1 25.9123 -2.10825 2.77566
1 25.7193 -1.17832 2.47937
1 25.4221 -0.914546 3.39617
1 25.012 -0.154466 2.90109
1 24.4568 -0.886005 2.49969
1 23.5719 -0.784211 2.9501
1 22.7802 -0.640677 3.56334
1 22.4377 0.268109 3.81592
1 21.7616 0.953296 4.09157
1 21.4183 1.01441 3.15548
1 20.6904 0.38398 3.39948
1 19.7549 0.238392 3.71314
1 19.6608 -0.0913809 2.77633
1 19.1979 -0.946416 2.54965
1 18.3206 -1.02716 2.08276
1 17.3608 -1.11902 2.33936
1 16.53 -1.12565 1.78218
1 16.0419 -0.829965 2.60352
1 15.5343 -1.29015 1.87488
1 16.3932 -0.977653 1.45593
1 15.6589 -1.62431 1.65478
1 14.7509 -1.44596 1.27725
1 14.2104 -0.690145 0.918208
1 13.3748 -0.207085 0.670691
1 13.0279 -0.476849 -0.229724
1 12.0772 -0.740404 -0.397249
1 11.1532 -0.43714 -0.64695
1 10.2366 -0.746904 -0.389133
1 9.2643 -0.508893 -0.462901
1 8.3315 -0.782749 -0.724099
1 7.38336 -0.553877 -0.894782
1 7.43169 0.270114 -1.4499
1 6.48034 0.177075 -1.15489
1 5.636 -0.0646285 -0.666282
1 4.84918 0.459511 -1.00985
1 4.2114 0.463801 -0.248545
1 3.32839 0.701518 0.148151
1 2.55902 0.334589 -0.37063
1 2.24262 0.575666 0.549589
1 1.75721 -0.21634 0.909226
1 0.993784 -0.186086 0.269682
