100
Atoms. Timestep: 1815300000
1 -0.011999 0.0309351 -0.00497495
1 0.744939 -0.547546 -0.302686
1 1.64567 -0.128108 -0.331158
1 2.4199 0.512976 -0.343288
1 3.27309 0.874676 -0.711155
1 3.96659 0.810448 -1.42978
1 4.74818 0.194997 -1.56596
1 5.74552 0.174094 -1.48756
1 6.485 0.0138251 -0.831989
1 7.05809 0.128437 -0.0285218
1 7.86966 -0.450832 -0.0123272
1 8.86049 -0.584375 -0.0748661
1 9.75476 -0.463285 -0.492168
1 10.5124 -1.11679 -0.429384
1 11.379 -1.60778 -0.390321
1 12.3555 -1.56294 -0.616051
1 13.1813 -1.16005 -1.01738
1 14.0211 -0.783847 -1.42752
1 14.3096 0.153109 -1.62646
1 15.2429 0.176676 -1.97709
1 15.8487 0.672297 -1.35606
1 16.6931 1.04415 -1.73229
1 17.1799 1.77202 -1.2543
1 17.9239 1.32925 -0.763324
1 18.802 1.32243 -0.280178
1 19.4248 0.582726 -0.520366
1 20.0992 0.435987 0.209567
1 21.0768 0.594945 0.385808
1 21.5118 0.154041 1.17317
1 21.8501 -0.672511 0.733318
1 21.7238 0.303786 0.893097
1 22.1837 0.644392 1.71486
1 21.9553 1.61694 1.74562
1 22.775 1.46218 1.19604
1 22.6875 0.501243 0.937654
1 22.733 -0.078635 0.122616
1 23.196 0.107796 0.992623
1 23.7681 0.921295 0.956463
1 24.7552 0.974146 0.856449
1 23.8423 1.28342 1.12407
1 24.8091 1.03234 1.25457
1 25.3477 1.87652 1.36959
1 26.0417 1.24866 1.0341
1 26.153 1.76366 1.88665
1 25.4454 1.97813 1.2031
1 25.5962 2.93182 1.45089
1 25.968 3.4946 2.19175
1 25.4707 4.21738 1.72168
1 24.6854 3.63369 1.90348
1 24.0885 2.8427 2.01743
1 23.4341 3.35416 1.46547
1 22.8262 2.72277 0.989236
1 22.9826 3.47343 0.352726
1 23.374 2.57073 0.172645
1 22.3918 2.75673 0.203899
1 21.5179 2.83677 0.696125
1 22.3678 2.33495 0.518472
1 22.0407 1.95257 -0.3499
1 21.0599 2.08632 -0.503183
1 20.5349 2.76492 -1.03511
1 21.5166 2.94441 -0.930294
1 20.604 3.20717 -0.611354
1 21.1997 2.56474 -0.119259
1 20.8376 2.20386 -0.974918
1 20.0423 2.05801 -1.56209
1 19.3832 1.34552 -1.80578
1 18.783 2.03204 -2.21376
1 18.1767 1.35853 -2.62972
1 18.633 0.832478 -1.91881
1 17.864 0.196564 -1.86124
1 17.4056 -0.0816029 -1.02298
1 16.8897 0.206773 -1.82453
1 16.4786 0.29491 -2.72625
1 15.8616 -0.00383907 -3.45135
1 15.1891 -0.74391 -3.47124
1 15.5316 -1.29559 -2.7116
1 14.5577 -1.47461 -2.64119
1 13.733 -1.85814 -3.04778
1 12.9906 -2.0191 -2.39847
1 12.4076 -1.21446 -2.53524
1 11.437 -1.03008 -2.35809
1 10.8891 -0.543555 -1.67206
1 10.0548 -0.303505 -1.18593
1 9.8155 -0.443365 -2.1522
1 10.332 0.373524 -2.39868
1 9.82266 1.07576 -1.91123
1 9.62209 0.237182 -1.40903
1 8.76057 0.550272 -1.8147
1 7.83715 0.860631 -2.0391
1 7.37363 0.940135 -1.16423
1 6.58793 0.346953 -0.997294
1 5.75499 0.0451521 -1.47071
1 5.28718 -0.617987 -0.885397
1 4.32828 -0.695869 -0.623141
1 3.54153 -1.31034 -0.540946
1 3.30751 -0.797483 0.294189
1 2.912 -0.477266 1.15535
1 2.19559 0.17126 0.916053
1 1.31636 -0.305838 0.866951
1 0.791795 -0.557502 0.0549824
