100
Atoms. Timestep: 909500000
1 -0.0178883 0.0117607 0.0103504
1 0.386338 -0.876374 -0.212199
1 1.22927 -1.24624 -0.588074
1 1.86345 -1.91082 -0.994278
1 2.08591 -1.61405 -0.06588
1 2.20475 -0.692383 0.296485
1 3.15084 -0.501245 0.56836
1 3.722 0.293638 0.771054
1 4.132 0.365586 1.67119
1 5.01981 0.781224 1.4446
1 5.99235 0.926901 1.27581
1 6.95869 0.919978 1.0264
1 7.27932 0.273825 0.330935
1 8.06187 -0.308963 0.117768
1 8.82327 -0.942414 -0.00566251
1 9.81636 -0.868325 0.105215
1 10.7067 -0.582741 0.478183
1 11.299 -0.750461 -0.314872
1 12.1003 -0.500617 -0.8414
1 12.9188 -0.208033 -0.350714
1 13.8698 -0.231765 -0.026049
1 14.6691 0.19018 0.412823
1 15.3025 0.0801596 1.18336
1 16.2663 0.311575 1.1043
1 16.3609 0.179163 2.09098
1 16.2828 0.235309 3.08567
1 17.2843 0.187016 3.16378
1 18.1448 0.468773 3.56882
1 18.9176 -0.100147 3.29771
1 19.8441 0.279811 3.35768
1 20.5817 0.94662 3.44327
1 21.1935 0.187592 3.64047
1 21.7464 -0.0586824 4.43771
1 21.6851 0.932546 4.54714
1 21.4926 0.322015 5.32267
1 22.3693 -0.153894 5.35753
1 22.3503 0.552185 4.64563
1 23.1014 0.619984 5.30037
1 22.5973 1.47369 5.44325
1 23.5592 1.71464 5.28964
1 24.1327 0.983676 4.93132
1 23.9884 0.265576 4.25832
1 24.7824 0.421306 4.84312
1 25.6718 0.879575 4.81988
1 25.0335 1.34027 4.21604
1 25.2745 1.19972 5.17225
1 24.9923 0.535259 4.48569
1 25.6787 0.403818 5.20396
1 24.9152 0.91457 4.81472
1 25.0954 0.0753747 5.32175
1 24.5243 0.799759 5.69957
1 23.6923 1.10896 5.23464
1 22.8101 0.818784 4.85886
1 22.7771 1.67094 4.34568
1 23.5494 1.03601 4.42829
1 23.2154 0.806275 5.3461
1 23.2706 0.412781 4.42898
1 23.651 0.33777 3.5096
1 23.4991 -0.397703 2.84697
1 23.137 -0.506868 1.92039
1 22.9829 0.0447914 1.09587
1 22.5415 0.613502 0.394786
1 21.8998 0.289314 -0.302424
1 21.4042 -0.582234 -0.382345
1 21.7376 0.218388 0.105685
1 22.2137 0.694928 -0.637084
1 21.7771 0.346696 -1.46559
1 20.8714 0.0279179 -1.17307
1 20.3952 0.382273 -0.36512
1 19.6838 1.03177 -0.0825774
1 18.8676 0.49422 0.108408
1 18.202 -0.0508881 -0.406054
1 17.25 -0.0654126 -0.702327
1 16.2821 0.110849 -0.89524
1 15.967 -0.800995 -0.619668
1 15.0808 -1.25873 -0.556883
1 14.7272 -0.377363 -0.872894
1 13.742 -0.526104 -0.896784
1 14.0534 0.413824 -0.726199
1 13.116 0.216491 -0.457734
1 13.6142 0.824226 -1.08425
1 13.1987 1.12654 -1.94443
1 12.644 1.94883 -1.7675
1 11.6808 2.2182 -1.74955
1 11.2105 1.89808 -0.93516
1 10.4757 1.92314 -0.26611
1 10.0117 1.04316 -0.384724
1 9.61739 0.212457 0.00886125
1 8.80289 -0.0252957 0.54884
1 8.01079 -0.032129 1.16092
1 7.57945 -0.92652 1.14127
1 6.65111 -1.2072 0.897151
1 6.20547 -0.410558 1.29459
1 5.58852 -1.02623 0.807805
1 4.6647 -0.6958 0.965983
1 3.83795 -0.16335 0.807022
1 3.06004 -0.349094 1.39731
1 2.23414 -0.375259 0.830462
1 1.39836 -0.543259 0.300902
1 0.72357 -0.492949 -0.434538
