100
Atoms. Timestep: 1420100000
1 0.0383482 0.000739312 0.0146787
1 0.880467 -0.197303 0.505303
1 1.68285 -0.0471347 -0.0788115
1 2.33009 0.358183 0.568264
1 3.2239 0.775991 0.36602
1 4.19979 0.930472 0.543866
1 5.19945 0.946582 0.572387
1 5.99451 1.55633 0.641728
1 6.94528 1.61773 0.928874
1 7.25653 2.44108 1.40131
1 7.94806 2.69026 0.716952
1 8.84883 2.37543 0.994152
1 9.34104 2.2999 0.119885
1 10.3127 2.07814 0.134568
1 11.0914 2.53888 0.547614
1 12.0429 2.67277 0.263446
1 12.8442 3.22398 0.509004
1 13.2894 3.07029 -0.368866
1 14.0612 2.65413 0.120309
1 15.007 2.80512 -0.153416
1 15.6155 3.49178 -0.548339
1 16.4061 3.92661 -0.980231
1 16.9034 4.27675 -1.7743
1 17.2191 3.83731 -2.61716
1 17.9478 3.17563 -2.73822
1 18.4107 3.97464 -3.12506
1 19.3496 4.03417 -2.80365
1 19.6668 4.43922 -1.95009
1 19.9063 3.47013 -1.92729
1 20.7118 3.06187 -2.37602
1 21.6866 2.88686 -2.54173
1 22.632 3.13621 -2.32239
1 23.2495 2.87148 -1.58488
1 23.727 2.92791 -0.714126
1 24.6727 2.64691 -0.534056
1 24.5001 2.40562 -1.49222
1 25.1979 2.83482 -0.921504
1 26.0846 3.29563 -0.963125
1 25.6389 2.43982 -0.697055
1 26.1583 2.94217 -1.38604
1 25.8764 2.58989 -0.491335
1 25.9397 3.2868 0.222097
1 25.7349 4.26482 0.260321
1 26.5023 4.20583 0.906872
1 26.5106 3.88709 1.85572
1 27.2338 3.4112 2.36423
1 27.1495 4.02899 1.58049
1 26.7096 4.21013 2.45897
1 26.4851 4.77334 3.2594
1 26.7391 4.18752 2.48744
1 26.3799 3.94801 1.57694
1 26.925 3.38585 0.950594
1 27.4937 2.56167 0.983352
1 27.2071 1.64702 1.24962
1 26.9223 0.72563 1.51959
1 27.0368 0.519689 0.541911
1 26.3224 -0.171896 0.455291
1 25.6246 0.546485 0.449557
1 26.6198 0.633103 0.397165
1 26.3653 -0.00965292 -0.326483
1 27.0904 -0.691945 -0.395419
1 26.334 -0.805018 -1.03808
1 26.0372 -1.1721 -0.153624
1 25.6809 -1.91299 -0.723395
1 24.7644 -1.96157 -1.12515
1 24.0077 -2.19882 -0.516547
1 23.5097 -2.05736 -1.37673
1 22.7474 -2.57921 -1.00274
1 22.9774 -1.98091 -1.77441
1 22.3066 -2.11984 -2.50004
1 21.967 -1.58592 -1.73341
1 21.4611 -1.11373 -2.4538
1 21.2534 -1.98705 -2.00554
1 20.3371 -2.25593 -1.71926
1 19.5553 -2.87271 -1.81339
1 18.7566 -2.63068 -1.26228
1 18.1542 -3.41239 -1.42365
1 17.7263 -2.83002 -0.730356
1 17.1419 -2.95951 -1.52714
1 16.2442 -3.40451 -1.59057
1 15.8488 -2.55207 -1.94248
1 14.886 -2.31104 -2.0499
1 13.9205 -2.2379 -1.78302
1 13.1349 -2.03127 -1.20635
1 12.3933 -1.40163 -0.987691
1 11.5298 -1.08539 -0.595145
1 10.5309 -1.06562 -0.718883
1 10.7663 -0.220264 -0.244503
1 9.84214 -0.245133 0.12441
1 9.22905 -0.522831 0.867852
1 8.29264 -0.768159 0.626244
1 7.39741 -0.51558 0.261358
1 6.77298 0.215474 0.547434
1 5.80608 0.0226914 0.324189
1 4.99699 0.54141 0.0751298
1 4.34032 -0.146488 0.351624
1 3.47245 -0.632086 0.242306
1 2.75957 -0.0742307 -0.168748
1 1.87168 0.37603 -0.269801
1 0.91268 0.155863 -0.43306
