100
Atoms. Timestep: 1343800000
1 -0.0457779 -0.0143125 0.0411385
1 0.748954 -0.606183 0.138546
1 1.705 -0.296852 0.161798
1 2.43213 0.346281 0.395655
1 3.11611 -0.152509 -0.13995
1 3.96085 0.0978013 0.335738
1 4.83072 -0.290192 0.633447
1 5.62458 0.229381 0.950612
1 6.51832 -0.191153 1.12202
1 7.47786 -0.401131 0.9169
1 8.09842 -1.09218 0.543491
1 8.93443 -0.664992 0.875108
1 9.83503 -1.07648 1.0166
1 10.0876 -0.663556 1.88691
1 11.0369 -0.888824 1.67574
1 11.8401 -1.46701 1.6416
1 12.4523 -2.15055 2.02735
1 13.442 -2.24709 2.10886
1 14.2208 -2.81198 2.38026
1 15.0145 -3.16884 2.86847
1 15.9213 -3.16739 2.45473
1 16.3014 -2.28454 2.18846
1 16.8422 -3.09762 2.39299
1 17.7108 -2.66441 2.14545
1 18.2007 -2.61224 3.01667
1 18.9993 -2.30507 3.52826
1 19.8894 -2.77117 3.61873
1 20.4289 -3.35323 3.0039
1 21.3763 -3.5161 3.28756
1 22.1568 -2.92142 3.11199
1 22.6819 -3.2591 3.89647
1 23.5755 -3.54505 3.54258
1 24.3503 -3.62391 2.91
1 25.2775 -3.31052 2.70457
1 25.8196 -4.0021 3.17748
1 26.4483 -4.65004 2.75691
1 27.3819 -4.53941 3.08809
1 27.4114 -4.68971 4.07549
1 27.2512 -3.95729 3.42033
1 27.9524 -3.6684 2.76953
1 27.6074 -4.58635 2.96985
1 28.2337 -4.37761 2.22565
1 29.0693 -4.32007 1.67309
1 28.6265 -4.29674 0.766883
1 29.2583 -4.97655 0.379824
1 29.1306 -4.6257 1.30794
1 29.8496 -5.1737 1.76271
1 29.3562 -5.01206 2.62386
1 30.3258 -5.12475 2.84658
1 30.229 -4.21862 2.43366
1 29.8923 -4.92495 1.80108
1 30.3598 -4.27267 2.40053
1 29.7537 -4.10796 1.62097
1 29.1674 -4.90103 1.78631
1 28.2468 -5.08434 2.14359
1 27.7058 -5.42988 1.38938
1 26.7839 -5.19384 1.0945
1 26.5452 -4.88589 0.176633
1 26.7589 -4.70214 -0.786942
1 25.8069 -4.42263 -0.909848
1 25.0592 -4.24709 -0.276091
1 25.5492 -5.1176 -0.137768
1 25.3699 -4.83157 0.80183
1 24.5833 -4.35566 0.404399
1 23.8983 -5.00001 0.0645191
1 23.0612 -4.97552 -0.489279
1 23.2406 -4.66508 0.447502
1 22.9073 -3.72797 0.53955
1 22.3113 -4.12739 1.24416
1 21.8983 -3.73077 0.424142
1 21.3513 -3.08427 -0.103638
1 20.3636 -3.25995 -0.175879
1 19.6506 -3.65879 -0.754406
1 19.4202 -4.41999 -0.147766
1 18.445 -4.19873 -0.251877
1 17.5195 -3.83549 -0.348366
1 16.6827 -4.37441 -0.288472
1 15.7697 -4.00021 -0.123834
1 15.5843 -3.13561 0.340797
1 15.4288 -3.37823 1.29354
1 14.8394 -3.23722 2.08448
1 13.9938 -3.76293 1.96426
1 13.3447 -3.1639 2.42907
1 12.3767 -3.40497 2.34778
1 11.5864 -3.09464 1.82848
1 10.6812 -3.14895 2.23996
1 9.7804 -2.784 2.45228
1 9.16857 -2.24139 1.87032
1 8.17777 -2.22932 1.75423
1 7.39631 -1.70269 1.42978
1 6.74174 -1.14672 0.914396
1 5.92827 -1.69161 1.13382
1 4.9497 -1.513 0.995503
1 4.33366 -1.22143 0.252908
1 3.4374 -0.930828 0.602923
1 2.51541 -0.929962 1.00021
1 3.00451 -0.0873672 1.22435
1 2.02584 0.0536221 1.07191
1 1.66379 0.162799 0.140659
1 0.799336 -0.146599 0.553498
