100
Atoms. Timestep: 581300000
1 0.0402181 -0.00111539 0.0727554
1 1.01669 -0.173999 0.0239028
1 1.85973 -0.0403715 -0.486136
1 2.82245 0.0476367 -0.198253
1 3.75821 -0.141415 0.0830439
1 4.65821 -0.125699 0.52283
1 5.64605 -0.0538437 0.650456
1 6.15036 -0.449518 -0.11817
1 7.06523 -0.583915 -0.498544
1 7.61205 -1.2195 -1.04873
1 8.53573 -1.54057 -0.848257
1 8.95583 -2.22679 -0.241862
1 9.71092 -1.90992 0.326009
1 9.43981 -2.01565 -0.637834
1 9.97188 -2.69584 -0.136102
1 10.5715 -2.62051 -0.935377
1 11.3157 -2.04714 -0.570592
1 12.2268 -1.87565 -0.941522
1 13.0427 -1.59117 -0.434217
1 13.9552 -1.94214 -0.229187
1 14.4348 -1.21344 -0.731853
1 15.3055 -0.90117 -0.346985
1 16.2603 -0.65372 -0.17428
1 17.0872 -0.790336 0.368761
1 17.7735 -0.237712 0.8422
1 18.7329 -0.494424 0.755577
1 19.4835 -0.334003 1.39778
1 19.8279 -0.205337 2.32602
1 19.9527 -0.124798 3.31805
1 20.8579 -0.495396 3.52054
1 21.4482 -0.373441 2.72328
1 21.8972 -1.26752 2.73775
1 22.8808 -1.19591 2.61797
1 23.6095 -0.8232 2.03282
1 24.4225 -1.05395 2.56108
1 24.577 -0.284337 1.93658
1 25.3897 -0.33591 2.51633
1 26.1813 0.271208 2.6101
1 26.6308 0.0991497 1.72592
1 27.6229 0.0575143 1.66446
1 28.0488 0.094641 0.768085
1 27.0789 0.221664 0.983772
1 27.521 -0.0907581 1.8266
1 26.6622 0.322 2.11357
1 27.5776 0.628312 1.87136
1 28.2323 0.230031 1.22635
1 27.4389 0.836616 1.17656
1 28.375 0.63777 1.46879
1 29.2859 0.594144 1.06412
1 28.6275 0.488986 1.80909
1 28.3294 1.30863 2.29099
1 28.8736 2.09134 2.57874
1 29.7645 2.49105 2.36285
1 29.6144 3.19943 3.06441
1 29.5176 3.15617 4.05858
1 28.6394 3.44721 3.68913
1 27.6484 3.45301 3.80562
1 27.1845 3.25555 2.94424
1 27.8011 3.33197 2.16225
1 27.6902 4.19594 1.66998
1 26.8691 3.62491 1.64389
1 26.2375 4.16446 2.18538
1 25.4062 3.62633 2.07668
1 25.0217 3.99839 1.22843
1 24.1972 3.44112 1.37439
1 23.8054 3.09886 2.22513
1 22.8232 3.01404 2.11175
1 22.6964 2.17897 2.64774
1 22.4173 1.42011 3.24054
1 22.4365 0.44542 3.08589
1 21.4978 0.236284 2.82827
1 20.8728 0.0863145 2.05489
1 20.8181 -0.60498 1.32882
1 19.8689 -0.283099 1.37894
1 18.8963 -0.119067 1.55445
1 17.9424 0.067142 1.31717
1 17.4523 -0.660427 0.840855
1 16.6765 -0.112003 0.519281
1 15.8014 0.340373 0.358336
1 15.1611 0.566541 1.08753
1 14.6195 0.104885 0.377698
1 14.1237 -0.535098 0.968027
1 13.4635 -0.449341 1.71386
1 12.4685 -0.401377 1.74814
1 11.6671 -0.341845 1.16287
1 11.0199 -0.114921 1.89146
1 10.7528 -0.689809 1.11613
1 10.433 0.259966 1.03298
1 9.4593 0.187486 0.802488
1 8.74037 -0.287896 1.31473
1 8.13517 -1.00629 0.96663
1 7.26928 -0.609337 0.667606
1 6.2965 -0.712618 0.447199
1 5.46373 -0.477386 0.942868
1 4.57604 -0.0484042 0.746424
1 3.67764 -0.0455695 0.306573
1 2.9761 -0.586174 0.774106
1 2.32311 -0.885065 0.0708156
1 1.70883 -0.490105 -0.614757
1 1.03209 -0.0323553 -0.0499104
