100
Atoms. Timestep: 1626200000
1 0.0312894 -0.0680293 0.0354401
1 0.916509 0.245074 -0.304563
1 1.55896 0.30352 0.458389
1 2.52298 0.18339 0.687689
1 3.31315 0.46636 0.150527
1 4.21623 0.643096 -0.249879
1 5.10491 0.385391 -0.634432
1 6.03843 0.546565 -0.968003
1 6.99897 0.766735 -0.759297
1 7.85367 0.725857 -0.246046
1 8.51623 0.970556 -0.952822
1 8.98542 0.130549 -0.683015
1 9.95125 -0.026283 -0.46651
1 10.8859 -0.143684 -0.806716
1 11.7827 0.0873512 -1.1891
1 12.6187 -0.0212161 -1.71818
1 13.3715 0.544502 -2.04142
1 14.2773 0.532981 -2.46637
1 15.1489 0.471894 -2.95761
1 16.0727 0.167649 -3.18434
1 16.8685 -0.407769 -2.97132
1 16.8408 -0.6804 -3.93289
1 17.5654 -0.286795 -4.49754
1 18.5538 -0.434364 -4.5084
1 19.4263 -0.917796 -4.5904
1 19.3362 -1.07972 -3.60393
1 20.231 -0.629145 -3.61188
1 20.995 -1.26827 -3.52623
1 21.956 -0.965724 -3.5171
1 22.6679 -0.588193 -4.10896
1 23.5378 -0.648401 -3.61344
1 24.4346 -0.751261 -4.03786
1 24.5374 -1.56742 -3.46913
1 25.4838 -1.75474 -3.21345
1 25.6907 -1.00955 -3.85136
1 26.2273 -1.36584 -3.08301
1 27.0259 -0.86142 -2.74654
1 27.8501 -1.3252 -2.42462
1 26.8499 -1.37875 -2.48382
1 27.6394 -0.857645 -2.80209
1 27.135 -0.372919 -2.08261
1 28.0466 -0.551482 -2.43986
1 27.2899 0.0600643 -2.25423
1 27.2192 -0.767023 -1.69643
1 27.7497 -1.46905 -2.16553
1 26.782 -1.42168 -1.91567
1 26.3709 -0.743698 -1.30682
1 26.0777 -1.69614 -1.24112
1 25.7464 -1.00032 -1.88687
1 26.1779 -1.0471 -2.78124
1 26.8224 -0.680976 -2.10741
1 26.5613 -1.34846 -1.4019
1 26.17 -1.1214 -2.28776
1 27.0976 -0.778192 -2.09298
1 27.8915 -0.558366 -2.66214
1 28.3362 -0.26066 -3.50568
1 28.7246 0.48799 -4.0202
1 27.9357 0.0482653 -3.59724
1 27.8476 0.190086 -4.5787
1 27.1582 -0.36396 -4.11453
1 26.8971 0.583663 -3.91273
1 26.5168 -0.327784 -3.79228
1 26.1385 -1.25222 -3.74011
1 25.5002 -1.04564 -2.99348
1 24.7482 -1.19849 -2.3512
1 24.284 -0.335975 -2.55827
1 23.9176 -1.04971 -1.95281
1 24.1817 -1.87953 -2.44169
1 23.6991 -2.53087 -1.86283
1 22.8348 -2.04805 -1.9519
1 22.1652 -2.68139 -2.34606
1 21.6444 -2.11656 -2.99861
1 20.7024 -1.9244 -3.28174
1 19.8645 -1.71454 -2.76167
1 18.9779 -1.77419 -2.31147
1 18.1207 -2.28696 -2.41645
1 17.4616 -2.19874 -1.67769
1 16.5422 -1.87413 -1.43846
1 15.8555 -1.70859 -0.73025
1 14.9335 -1.32119 -0.749447
1 14.3598 -0.553077 -0.463322
1 14.2415 0.442225 -0.484539
1 13.305 0.0921453 -0.435241
1 12.3574 0.362878 -0.6502
1 11.6832 0.988469 -0.257442
1 10.914 1.38978 -0.757091
1 9.92956 1.21964 -0.737618
1 9.12126 0.829281 -1.19245
1 10.1004 0.612861 -1.1725
1 9.1115 0.642124 -1.31445
1 8.3462 0.483718 -1.95819
1 7.45842 0.516314 -2.41633
1 7.07419 0.791331 -1.53556
1 6.43679 0.110844 -1.1661
1 5.631 0.0495945 -0.591506
1 4.72493 -0.220842 -0.273634
1 3.80263 0.146529 -0.128841
1 2.8754 -0.0119051 -0.461288
1 1.93109 -0.313056 -0.387411
1 1.02749 -0.190591 0.0271283
